feature,rho_age,rho_pseudotime,F_state,F_phase,dynamic_score,confound_score,trajectory_score,rank
Int_Med_p53_cell,0.009913395457826062,0.4826383764765519,0.08740358024744052,0.5681563393851231,0.49255177193437794,0.5336934414069661,0.3057590674419398,1
Int_MeanEdge_pSTAT3_cell,-0.0851007512885164,0.125589601303896,0.019840621291014562,0.18527954254098292,0.21069035259241237,0.18962500909637225,0.14432159940868208,2
Int_Med_pRB_cell,-0.05814899491813319,0.6143306534588237,0.002802995905446927,3.611818001284676,0.6724796483769568,1.5314212144722579,0.1364822233116666,3
Int_MeanEdge_CDK6_cell,-0.10719738920254983,0.3679840719717484,0.0060441594375566935,1.991975622343682,0.47518146117429827,1.101959879241966,0.08949550343961016,4
Int_Med_p53_ring,-0.023092906349823264,0.4311288272629158,0.06271594751310182,1.8499057654089721,0.45422173361273904,1.1081137748483647,0.06638191241581143,5
Int_Med_p53_cyto,-0.023092906349823264,0.4311288272629158,0.06271594751310182,1.8499057654089721,0.45422173361273904,1.1081137748483647,0.06638191241581143,6
Int_Med_pCHK1_cyto,0.01866619100179283,0.5603016813153336,0.054660334086283645,3.5535736635771413,0.5789678723171264,1.5691311021242444,0.029771986573640885,7
Int_Med_pCHK1_ring,0.01866619100179283,0.5603016813153336,0.054660334086283645,3.5535736635771413,0.5789678723171264,1.5691311021242444,0.029771986573640885,8
Int_Med_RSK1_cell,0.0004180954171696553,0.21217223687009443,0.1608217549259734,1.4716739725236325,0.2125903322872641,1.0540238064934542,-0.15631799998544482,9
Int_MeanEdge_pp53_cell,-0.11851613260173162,0.24932395004422714,0.008925623416831969,3.6488523166055127,0.36784008264595874,1.5455064009923818,-0.1730871577013749,10
Int_MeanEdge_p16_cell,-0.055480953598460246,0.45334400939544145,2.027279013982443,1.3342585384799224,0.5088249629939017,1.9553584991634778,-0.17555051171331548,11
Int_Med_pCHK1_cell,0.050714029650198375,0.5949389597220549,0.6851330646350942,5.9216886356916785,0.6456529893722532,2.4565042931559264,-0.21412351323232093,12
Int_MeanEdge_pCHK1_cell,-0.1702349070120387,0.43051427804672104,0.2734379168700895,8.134101796633633,0.6007491850587597,2.453735123749235,-0.2580581082534724,13
Int_Med_bCat_ring,-0.0029269861185564636,0.1174343324878522,0.0367521015846668,1.8665289600697683,0.12036131860640867,1.0891947234840051,-0.26085683461299314,14
Int_Med_bCat_cyto,-0.0029269861185564636,0.1174343324878522,0.0367521015846668,1.8665289600697683,0.12036131860640867,1.0891947234840051,-0.26085683461299314,15
Int_Med_bCat_cell,0.03179761300010028,0.18979753172949304,0.03287259138861211,3.4696659501942815,0.22159514472959332,1.529657518420693,-0.3137849867176492,16
Int_MeanEdge_pH2AX_cell,-0.14883763862002602,0.2755518019547075,1.6713200690985369e-06,8.34863284609582,0.42438944057473355,2.2352317842592337,-0.3579416839159982,17
Int_Med_pH2AX_ring,0.02813812094666046,0.3193472923793073,1.2864229886709695,2.3097427387933265,0.3474854133259678,2.0238590466196036,-0.3608652529908934,18
Int_Med_pH2AX_cyto,0.02813812094666046,0.3193472923793073,1.2864229886709695,2.3097427387933265,0.3474854133259678,2.0238590466196036,-0.3608652529908934,19
Int_Med_DNA_cell,-0.028943728751336665,0.47944170006463643,2.5410989229418735,2.5351211109200973,0.5083854288159732,2.5271846684583004,-0.37612920514443193,20
Int_Med_RSK1_nuc,0.08812780653742924,0.14192862737334744,0.18241858366351926,3.823982172072428,0.23005643391077668,1.7411617517339462,-0.3793501791961045,21
Int_Med_pSTAT3_cell,-0.02975553623307318,0.20294718361674102,1.2502273925853147,1.6762857762599201,0.2327027198498142,1.795461203369444,-0.3957087013294912,22
Int_Med_RSK1_cyto,-0.02011618487608783,0.1319958775998397,0.07746990102621419,3.5581998952505445,0.1521120624759275,1.5915433942978527,-0.40492812552832086,23
Int_Med_RSK1_ring,-0.02011618487608783,0.1319958775998397,0.07746990102621419,3.5581998952505445,0.1521120624759275,1.5915433942978527,-0.40492812552832086,24
Int_MeanEdge_pp65_cell,-0.0974407377625937,0.16528794049555665,0.3921865506875824,4.643965541215058,0.2627286782581503,2.0614624978197433,-0.4587831959787598,25
Int_Med_DNA_ring,-0.04945690942483249,0.451716335635057,0.8907867677501835,7.540830729699567,0.5011732450598895,2.7818512998943135,-0.4724747099031201,26
Int_Med_DNA_cyto,-0.04945690942483249,0.451716335635057,0.8907867677501835,7.540830729699567,0.5011732450598895,2.7818512998943135,-0.4724747099031201,27
Int_Med_pAKT_nuc,-0.14149436584683492,-0.3137449763984786,0.7311100969711243,7.6897224857457855,0.4552393422453135,2.7109038811448363,-0.4935770161553792,28
Int_Med_cJun_ring,-0.1071843575033122,0.5560968404810688,2.150022694845828,8.60552916842452,0.663281197984381,3.4097485452441125,-0.5301307928510582,29
Int_Med_cJun_cyto,-0.1071843575033122,0.5560968404810688,2.150022694845828,8.60552916842452,0.663281197984381,3.4097485452441125,-0.5301307928510582,30
Int_MeanEdge_pRSK_cell,-0.006487175609937316,0.3737403677809503,4.31258681090419,1.745776554914598,0.38022754339088766,2.6801428079117624,-0.5578224393782292,31
