UMAP1,UMAP2,annotated_age,state,phase,pseudotime
27.232609,21.559244,6.933333332999999,cycling,S,0.43231684
28.683924,21.26866,16.26666667,cycling,G2,0.7926565
27.128263,19.523722,2.666666667,arrested,G0,0.41466853
23.64819,22.103973,0.26666666699999997,cycling,G1,0.17499602
26.670488,21.44143,12.8,cycling,G2,0.36357948
27.915607,22.237833,10.13333333,cycling,S,0.52732444
26.426908,22.106552,4.533333333,cycling,G1,0.2987789
28.422796,20.975845,18.66666667,cycling,G2,0.72945505
28.006256,22.248476,1.6,cycling,G1,0.58006954
26.91973,22.166214,15.46666667,cycling,G1,0.41465697
24.658203,18.802906,5.066666667,cycling,G1,0.35366744
24.826729,19.97381,6.4,cycling,G1,0.32611337
26.970877,21.714127,0.26666666699999997,cycling,G1,0.38605163
27.914742,21.15136,7.733333332999999,cycling,S,0.5303655
26.260561,22.54644,5.333333333,cycling,S,0.39263007
25.965761,21.05355,8.533333333,cycling,S,0.29451197
25.119146,20.29082,9.333333332999999,cycling,S,0.3998803
28.821903,20.910727,16.26666667,cycling,G2,0.78124106
27.597618,21.697403,18.13333333,cycling,G2,0.5511169
25.043531,19.707214,4.8,cycling,G1,0.29736874
25.932259,19.577908,3.4666666669999997,cycling,G1,0.28349707
26.326069,20.995708,6.933333332999999,cycling,G1,0.31230274
26.654497,22.03546,7.2,cycling,S,0.36961788
25.643812,21.646242,16.8,cycling,S,0.24481976
27.740368,21.955563,20.0,cycling,G2,0.5728953
26.519463,20.905367,10.93333333,cycling,S,0.3788475
25.954548,20.591095,4.8,cycling,G1,0.2535102
27.80883,18.940115,8.0,cycling,S,0.5297079
25.526516,20.810686,9.6,cycling,S,0.31906494
24.312609,21.458784,5.6,cycling,S,0.15026817
28.934122,18.367313,5.066666667,cycling,G1,0.60923517
23.924341,20.311169,4.266666667,cycling,G1,0.18728185
20.824465,16.988842,18.93333333,arrested,G0,0.6663889
27.063848,19.060863,5.8666666670000005,cycling,G1,0.42452753
25.657188,22.377039,8.0,cycling,S,0.35118932
23.698263,20.062225,7.2,cycling,S,0.24158628
