feature,cell_rank_bin,value
Int_Med_ERK_cell,0,-0.8525829852848327
Int_Med_ERK_cell,1,-0.8923949468408814
Int_Med_ERK_cell,2,-0.7005700008107093
Int_Med_ERK_cell,3,-0.6150062989314218
Int_Med_ERK_cell,4,-0.5652183185765144
Int_Med_ERK_cell,5,-0.36831651980333696
Int_Med_ERK_cell,6,-0.3079341552129957
Int_Med_ERK_cell,7,-0.30313783288658075
Int_Med_ERK_cell,8,-0.2173909491271957
Int_Med_ERK_cell,9,-0.09043338514671624
Int_Med_ERK_cell,10,-0.004744048371467075
Int_Med_ERK_cell,11,0.010889046308866269
Int_Med_ERK_cell,12,0.14261030553335743
Int_Med_ERK_cell,13,0.2647401230511778
Int_Med_ERK_cell,14,0.2414740357028941
Int_Med_ERK_cell,15,0.4323804535667395
Int_Med_ERK_cell,16,0.8599753193066595
Int_Med_ERK_cell,17,1.1551443134139041
Int_Med_ERK_cell,18,1.3416284214046732
Int_Med_ERK_cell,19,0.47230995863652664
Int_Med_ERK_cyto,0,-0.8321843065882847
Int_Med_ERK_cyto,1,-0.8812489256277326
Int_Med_ERK_cyto,2,-0.6793847349820403
Int_Med_ERK_cyto,3,-0.6203921192335291
Int_Med_ERK_cyto,4,-0.54872634263225
Int_Med_ERK_cyto,5,-0.3715573230504284
Int_Med_ERK_cyto,6,-0.31326706515582053
Int_Med_ERK_cyto,7,-0.3024271434954686
Int_Med_ERK_cyto,8,-0.21362977050456475
Int_Med_ERK_cyto,9,-0.08828346819986149
Int_Med_ERK_cyto,10,-0.019634921746880016
Int_Med_ERK_cyto,11,0.011196998610673106
Int_Med_ERK_cyto,12,0.149624367789114
Int_Med_ERK_cyto,13,0.2497664495461619
Int_Med_ERK_cyto,14,0.27229474725241315
Int_Med_ERK_cyto,15,0.4555862174054835
Int_Med_ERK_cyto,16,0.8575924370318628
Int_Med_ERK_cyto,17,1.2046693833987132
Int_Med_ERK_cyto,18,1.3146556349182068
Int_Med_ERK_cyto,19,0.357943680047178
Int_Med_ERK_ring,0,-0.8321843065882847
Int_Med_ERK_ring,1,-0.8812489256277326
Int_Med_ERK_ring,2,-0.6793847349820403
Int_Med_ERK_ring,3,-0.6203921192335291
Int_Med_ERK_ring,4,-0.54872634263225
Int_Med_ERK_ring,5,-0.3715573230504284
Int_Med_ERK_ring,6,-0.31326706515582053
Int_Med_ERK_ring,7,-0.3024271434954686
Int_Med_ERK_ring,8,-0.21362977050456475
Int_Med_ERK_ring,9,-0.08828346819986149
Int_Med_ERK_ring,10,-0.019634921746880016
Int_Med_ERK_ring,11,0.011196998610673106
Int_Med_ERK_ring,12,0.149624367789114
Int_Med_ERK_ring,13,0.2497664495461619
Int_Med_ERK_ring,14,0.27229474725241315
Int_Med_ERK_ring,15,0.4555862174054835
Int_Med_ERK_ring,16,0.8575924370318628
Int_Med_ERK_ring,17,1.2046693833987132
