n_features,spearman_age,spearman_ref,phase_separation,selection_method
5,0.700429820308262,0.6300687190287638,0.023826435208320618,dynamism_top_k
10,0.6371793842714502,0.5839697082684682,0.04564164951443672,dynamism_top_k
15,0.6368940511790996,0.6229238081439598,0.03934810683131218,dynamism_top_k
20,0.6081520559329459,0.8140484027946318,0.052501410245895386,dynamism_top_k
25,0.5858171651537697,0.8551479345077456,0.04647653177380562,dynamism_top_k
30,0.5391751145980049,0.8704676546555927,0.046706099063158035,dynamism_top_k
40,0.4818699047904696,0.8671293042013924,0.03913293406367302,dynamism_top_k
50,0.46414375657588636,0.872158570192216,0.033107344061136246,dynamism_top_k
75,0.6168801426742022,0.9004448216679947,0.06520166248083115,dynamism_top_k
100,0.6180631394084548,0.9320338561158217,0.06327252089977264,dynamism_top_k
150,0.6234730629538946,0.966068857783056,0.07393429428339005,dynamism_top_k
200,0.5709566013140871,0.9882129611661796,0.05578932166099548,dynamism_top_k
241,0.5343903214703034,0.9999999434332281,0.04266854375600815,dynamism_top_k
