rank,feature,dynamism_score
1,Int_Med_cycB1_cyto,0.8839583333333334
2,Int_Med_cycB1_ring,0.8839583333333334
3,Int_Med_cycB1_cell,0.8831249999999999
4,Int_Med_cycA_nuc,0.8691666666666668
5,Int_Intg_DNA_nuc,0.8550000000000001
6,Int_Med_CDK2_nuc,0.8439583333333334
7,Int_Med_cycA_ring,0.8414583333333333
8,Int_Med_cycA_cyto,0.8414583333333333
9,Int_MeanEdge_cycB1_cell,0.8335416666666668
10,Int_Med_Skp2_nuc,0.8256249999999999
11,Int_Med_pH2AX_nuc,0.818125
12,Int_Med_pS6_cyto,0.7764583333333334
13,Int_Med_pS6_ring,0.7764583333333334
14,Int_Med_cycA_cell,0.7685416666666666
15,Int_Med_pS6_cell,0.7668750000000001
