n_features,spearman_age,spearman_ref,phase_separation,features
5,0.700429820308262,0.6300687190287638,-0.0037180001381784678,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc
6,0.7462475234142524,0.5741261145096822,0.02384825423359871,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc
7,0.7636591926547166,0.6001178622975757,0.0576867014169693,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell
8,0.7727810225625524,0.5978432586858021,0.0376921221613884,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc
9,0.7715288782070381,0.5975950716879844,0.09065830707550049,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell
10,0.7693768363734848,0.5921563468323859,0.06886669993400574,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc
11,0.770250174133269,0.5956076690052589,0.04994187876582146,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring
12,0.7697831076518338,0.5974508521315668,0.0460953563451767,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring
13,0.768637550496323,0.5856045718887849,0.02688630484044552,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell
14,0.7665818168972565,0.5934710884019272,0.07582184672355652,Int_Med_cycB1_cyto;Int_Med_cycB1_ring;Int_Med_cycB1_cell;Int_Med_cycA_nuc;Int_Intg_DNA_nuc;Int_Med_Cdt1_nuc;Int_Med_p27_cell;Int_Med_Cdt1_nuc;Int_Med_cycA_cell;Int_Med_pp21_nuc;Int_Med_p38_ring;Int_Med_p21_ring;Int_Med_p21_cell;Int_Med_cycA_ring
