feature,spearman_corr,abs_spearman_corr,spearman_pval,mutual_info,rank_mi,rank_corr,combined_rank
Int_Intg_DNA_nuc,0.7359945236404305,0.7359945236404305,0.0,0.5587097922834952,1.0,1.0,2.0
Int_Med_cycA_nuc,0.73238994282907,0.73238994282907,0.0,0.5150479403576371,3.0,2.0,5.0
AreaShape_Area_nuc,0.7146348635615428,0.7146348635615428,0.0,0.4257922284025355,4.0,3.0,7.0
Int_Med_pH2AX_nuc,0.5826144580301129,0.5826144580301129,1.4635854529268934e-250,0.33302129095717703,6.0,5.0,11.0
Int_Med_Skp2_nuc,0.5137867003929677,0.5137867003929677,9.559193336098767e-186,0.5365849631551605,2.0,10.0,12.0
Int_Std_PCNA_nuc,0.5537299982861966,0.5537299982861966,1.65824147964594e-221,0.30856121252049995,8.0,8.0,16.0
Int_Med_cycB1_ring,0.560699121186191,0.560699121186191,2.95545136862624e-228,0.27468972896688104,10.0,6.5,16.5
Int_Med_CDK2_nuc,0.6007035083485317,0.6007035083485317,2.6986961034135266e-270,0.2588848306133755,13.0,4.0,17.0
Int_Med_cycB1_cyto,0.560699121186191,0.560699121186191,2.95545136862624e-228,0.27257583355582593,11.0,6.5,17.5
Int_Med_Cdt1_nuc,-0.5046733847071078,0.5046733847071078,3.0938446602219754e-178,0.319452950726971,7.0,11.0,18.0
Int_Med_E2F1_nuc,0.42886615522800786,0.42886615522800786,7.37405675537544e-124,0.38095383056666776,5.0,15.0,20.0
Int_Med_cycB1_cell,0.5493045847193913,0.5493045847193913,2.6485091794896276e-217,0.25332995437162076,15.0,9.0,24.0
Int_Med_p27_nuc,-0.49477946900436137,0.49477946900436137,2.454132708116502e-170,0.19512251183611973,16.0,12.0,28.0
Int_Med_pp21_nuc,0.4840634471442134,0.4840634471442134,4.544553614195216e-162,0.19108339619325498,17.0,13.0,30.0
Int_Med_Cdh1_nuc,-0.3670278266151216,0.3670278266151216,9.857296571373694e-89,0.2565511127823781,14.0,17.0,31.0
Int_Med_cycB1_nuc,0.4304464779673577,0.4304464779673577,7.397036919086576e-125,0.13854248637228306,19.0,14.0,33.0
Int_Med_cycE_nuc,0.36154346809320304,0.36154346809320304,5.7340795043881416e-86,0.11638028701281655,21.0,18.0,39.0
Int_Med_pp53_nuc,0.3704153269125631,0.3704153269125631,1.8151732322613298e-90,0.108682326767088,23.0,16.0,39.0
Int_Med_pCHK1_nuc,0.32934887790097084,0.32934887790097084,8.408262106251824e-71,0.10765586619368861,25.0,19.0,44.0
Int_Med_cycA_ring,0.2937574364225623,0.2937574364225623,4.832180700797196e-56,0.10970260631836304,22.0,24.5,46.5
Int_Med_p21_nuc,-0.22669044155715593,0.22669044155715593,1.736576797496357e-33,0.2798045921164123,9.0,41.0,50.0
Int_Med_BP1_nuc,0.2680758638404665,0.2680758638404665,1.2694018306113172e-46,0.1315991930201692,20.0,30.0,50.0
Int_Med_cycA_cell,0.28653325024829934,0.28653325024829934,2.724783864031335e-53,0.10798891538534416,24.0,26.0,50.0
Int_Med_cycA_cyto,0.2937574364225623,0.2937574364225623,4.832180700797196e-56,0.10557955815422204,26.0,24.5,50.5
Int_MeanEdge_cycB1_cell,0.274448762228661,0.274448762228661,7.230504994171935e-49,0.09095221471256654,30.0,29.0,59.0
Int_Med_GSK3b_nuc,0.31112700357368656,0.31112700357368656,5.437833338079292e-63,0.07984068715123716,38.0,22.0,60.0
Int_Med_p16_nuc,0.3242281444594991,0.3242281444594991,1.495130630793421e-68,0.07388973154702949,41.0,20.0,61.0
Int_Med_pRB_nuc,0.2582264626136358,0.2582264626136358,2.8449093103189363e-43,0.09101052422924649,29.0,33.0,62.0
Int_Med_PCNA_cyto,-0.2745114406756147,0.2745114406756147,6.867407576079639e-49,0.08448056004550697,35.0,27.5,62.5
Int_Med_CDK6_nuc,0.2602163261912233,0.2602163261912233,6.147057319093125e-44,0.08953846602390136,32.0,31.0,63.0
Int_Med_PCNA_ring,-0.2745114406756147,0.2745114406756147,6.867407576079639e-49,0.0843895321420689,36.0,27.5,63.5
Int_Med_pAKT_cell,-0.24059667631057924,0.24059667631057924,1.2560310139658842e-37,0.09180405170006711,28.0,38.0,66.0
Int_Med_pSTAT3_nuc,0.20884752910319032,0.20884752910319032,1.4430714778384819e-28,0.10252251709492288,27.0,45.0,72.0
