,mean,std,variance,cv,norm_var
Int_MeanEdge_AKT_cell,0.15850243,0.09757425,0.009520734,0.61560094,0.37896454
Int_MeanEdge_BP1_cell,0.035165995,0.03923997,0.0015397752,1.1158499,1.2451206
Int_MeanEdge_Bcl2_cell,0.08898082,0.060375717,0.003645227,0.6785251,0.4603963
Int_MeanEdge_CDK2_cell,0.25855285,0.11040117,0.012188418,0.42699653,0.18232603
Int_MeanEdge_CDK4_cell,0.26018512,0.082828134,0.0068604997,0.31834307,0.10134232
Int_MeanEdge_CDK6_cell,0.033659946,0.04326087,0.0018715027,1.2852329,1.6518233
Int_MeanEdge_Cdh1_cell,0.1392259,0.069908544,0.0048872046,0.5021231,0.25212765
Int_MeanEdge_Cdt1_cell,0.09465772,0.067993335,0.0046230936,0.7183074,0.51596546
Int_MeanEdge_DNA_cell,0.03288287,0.057723723,0.0033320282,1.7554345,3.08155
Int_MeanEdge_E2F1_cell,0.060629115,0.042799663,0.0018318112,0.7059259,0.4983314
Int_MeanEdge_ERK_cell,0.23065655,0.08940172,0.007992668,0.38759673,0.15023123
Int_MeanEdge_Fra1_cell,0.034887247,0.05641835,0.0031830305,1.6171626,2.6152148
Int_MeanEdge_GSK3b_cell,0.084189385,0.056855094,0.0032325017,0.6753238,0.4560622
Int_MeanEdge_RB_cell,0.06416985,0.072995044,0.0053282767,1.1375288,1.2939717
Int_MeanEdge_RSK1_cell,0.08677775,0.078246415,0.0061225016,0.90168756,0.8130405
Int_MeanEdge_S6_cell,0.18490998,0.10589602,0.011213967,0.5726896,0.32797334
Int_MeanEdge_STAT3_cell,0.06550883,0.054927234,0.003017001,0.8384707,0.7030332
Int_MeanEdge_Skp2_cell,0.108956605,0.04979049,0.002479093,0.45697543,0.20882653
Int_MeanEdge_YAP_cell,0.24525224,0.1314481,0.017278604,0.53597105,0.287265
Int_MeanEdge_bCat_cell,0.20527574,0.08545871,0.0073031913,0.41631177,0.17331551
Int_MeanEdge_cFos_cell,0.14262033,0.07658761,0.005865662,0.53700346,0.28837273
Int_MeanEdge_cJun_cell,0.027193515,0.054687276,0.0029906982,2.0110412,4.044286
Int_MeanEdge_cMyc_cell,0.06443438,0.053589568,0.0028718417,0.83169216,0.6917118
Int_MeanEdge_cycA_cell,0.03608962,0.05032235,0.002532339,1.3943717,1.9442725
Int_MeanEdge_cycB1_cell,0.16452642,0.12972267,0.01682797,0.788461,0.6216708
Int_MeanEdge_cycD1_cell,0.138536,0.07886037,0.006218958,0.569241,0.3240353
Int_MeanEdge_cycE_cell,0.043644853,0.033186536,0.0011013462,0.7603769,0.578173
Int_MeanEdge_p14ARF_cell,0.13921393,0.07690405,0.005914233,0.5524163,0.3051638
Int_MeanEdge_p16_cell,0.0964098,0.07675174,0.0058908295,0.79609895,0.63377357
Int_MeanEdge_p21_cell,0.06630509,0.05708919,0.0032591757,0.86100763,0.7413341
Int_MeanEdge_p27_cell,0.033395194,0.034481734,0.00118899,1.0325358,1.06613
Int_MeanEdge_p38_cell,0.16568512,0.085658066,0.0073373043,0.5169931,0.2672819
Int_MeanEdge_p53_cell,0.067957014,0.049721718,0.0024722493,0.73166424,0.5353326
Int_MeanEdge_pAKT_cell,0.24083102,0.09712612,0.009433483,0.40329573,0.16264744
Int_MeanEdge_pCHK1_cell,0.032739937,0.03440488,0.0011836959,1.0508536,1.1042932
Int_MeanEdge_pERK_cell,0.23832631,0.11606114,0.013470189,0.4869842,0.23715359
Int_MeanEdge_pGSK3b_cell,0.14416312,0.08605716,0.0074058343,0.59694296,0.35634091
Int_MeanEdge_pH2AX_cell,0.09230499,0.07000247,0.004900345,0.75838226,0.57514364
Int_MeanEdge_pRB_cell,0.049461186,0.07723954,0.005965947,1.5616193,2.438655
Int_MeanEdge_pRSK_cell,0.08760197,0.054524075,0.0029728748,0.62240696,0.38739043
Int_MeanEdge_pS6_cell,0.091171876,0.076041356,0.0057822876,0.834044,0.69562936
Int_MeanEdge_pSTAT3_cell,0.054437514,0.052835576,0.0027915982,0.9705729,0.9420118
Int_MeanEdge_pp21_cell,0.045317125,0.054573745,0.0029782937,1.2042632,1.4502499
Int_MeanEdge_pp27_cell,0.095774494,0.04017882,0.0016143377,0.41951483,0.1759927
Int_MeanEdge_pp38_cell,0.12799707,0.08100146,0.0065612365,0.63283837,0.40048444
Int_MeanEdge_pp53_cell,0.11411883,0.107504345,0.011557184,0.94203866,0.88743675
