,measurement,protein,compartment
Int_MeanEdge_AKT_cell,Int_MeanEdge,AKT,cell
Int_MeanEdge_BP1_cell,Int_MeanEdge,BP1,cell
Int_MeanEdge_Bcl2_cell,Int_MeanEdge,Bcl2,cell
Int_MeanEdge_CDK2_cell,Int_MeanEdge,CDK2,cell
Int_MeanEdge_CDK4_cell,Int_MeanEdge,CDK4,cell
Int_MeanEdge_CDK6_cell,Int_MeanEdge,CDK6,cell
Int_MeanEdge_Cdh1_cell,Int_MeanEdge,Cdh1,cell
Int_MeanEdge_Cdt1_cell,Int_MeanEdge,Cdt1,cell
Int_MeanEdge_DNA_cell,Int_MeanEdge,DNA,cell
Int_MeanEdge_E2F1_cell,Int_MeanEdge,E2F1,cell
Int_MeanEdge_ERK_cell,Int_MeanEdge,ERK,cell
Int_MeanEdge_Fra1_cell,Int_MeanEdge,Fra1,cell
Int_MeanEdge_GSK3b_cell,Int_MeanEdge,GSK3b,cell
Int_MeanEdge_RB_cell,Int_MeanEdge,RB,cell
Int_MeanEdge_RSK1_cell,Int_MeanEdge,RSK1,cell
Int_MeanEdge_S6_cell,Int_MeanEdge,S6,cell
Int_MeanEdge_STAT3_cell,Int_MeanEdge,STAT3,cell
Int_MeanEdge_Skp2_cell,Int_MeanEdge,Skp2,cell
Int_MeanEdge_YAP_cell,Int_MeanEdge,YAP,cell
Int_MeanEdge_bCat_cell,Int_MeanEdge,bCat,cell
Int_MeanEdge_cFos_cell,Int_MeanEdge,cFos,cell
Int_MeanEdge_cJun_cell,Int_MeanEdge,cJun,cell
Int_MeanEdge_cMyc_cell,Int_MeanEdge,cMyc,cell
Int_MeanEdge_cycA_cell,Int_MeanEdge,cycA,cell
Int_MeanEdge_cycB1_cell,Int_MeanEdge,cycB1,cell
Int_MeanEdge_cycD1_cell,Int_MeanEdge,cycD1,cell
Int_MeanEdge_cycE_cell,Int_MeanEdge,cycE,cell
Int_MeanEdge_p14ARF_cell,Int_MeanEdge,p14ARF,cell
Int_MeanEdge_p16_cell,Int_MeanEdge,p16,cell
Int_MeanEdge_p21_cell,Int_MeanEdge,p21,cell
Int_MeanEdge_p27_cell,Int_MeanEdge,p27,cell
Int_MeanEdge_p38_cell,Int_MeanEdge,p38,cell
Int_MeanEdge_p53_cell,Int_MeanEdge,p53,cell
Int_MeanEdge_pAKT_cell,Int_MeanEdge,pAKT,cell
Int_MeanEdge_pCHK1_cell,Int_MeanEdge,pCHK1,cell
Int_MeanEdge_pERK_cell,Int_MeanEdge,pERK,cell
Int_MeanEdge_pGSK3b_cell,Int_MeanEdge,pGSK3b,cell
Int_MeanEdge_pH2AX_cell,Int_MeanEdge,pH2AX,cell
Int_MeanEdge_pRB_cell,Int_MeanEdge,pRB,cell
Int_MeanEdge_pRSK_cell,Int_MeanEdge,pRSK,cell
Int_MeanEdge_pS6_cell,Int_MeanEdge,pS6,cell
Int_MeanEdge_pSTAT3_cell,Int_MeanEdge,pSTAT3,cell
Int_MeanEdge_pp21_cell,Int_MeanEdge,pp21,cell
Int_MeanEdge_pp27_cell,Int_MeanEdge,pp27,cell
Int_MeanEdge_pp38_cell,Int_MeanEdge,pp38,cell
Int_MeanEdge_pp53_cell,Int_MeanEdge,pp53,cell
Int_MeanEdge_pp65_cell,Int_MeanEdge,pp65,cell
Int_Med_AKT_cell,Int_Med,AKT,cell
Int_Med_BP1_cell,Int_Med,BP1,cell
Int_Med_Bcl2_cell,Int_Med,Bcl2,cell
Int_Med_CDK2_cell,Int_Med,CDK2,cell
Int_Med_CDK4_cell,Int_Med,CDK4,cell
Int_Med_CDK6_cell,Int_Med,CDK6,cell
Int_Med_Cdh1_cell,Int_Med,Cdh1,cell
Int_Med_Cdt1_cell,Int_Med,Cdt1,cell
Int_Med_DNA_cell,Int_Med,DNA,cell
Int_Med_E2F1_cell,Int_Med,E2F1,cell
Int_Med_ERK_cell,Int_Med,ERK,cell
Int_Med_Fra1_cell,Int_Med,Fra1,cell
Int_Med_GSK3b_cell,Int_Med,GSK3b,cell
Int_Med_RB_cell,Int_Med,RB,cell
Int_Med_RSK1_cell,Int_Med,RSK1,cell
Int_Med_S6_cell,Int_Med,S6,cell
Int_Med_STAT3_cell,Int_Med,STAT3,cell
Int_Med_Skp2_cell,Int_Med,Skp2,cell
Int_Med_YAP_cell,Int_Med,YAP,cell
Int_Med_bCat_cell,Int_Med,bCat,cell
Int_Med_cFos_cell,Int_Med,cFos,cell
Int_Med_cJun_cell,Int_Med,cJun,cell
Int_Med_cMyc_cell,Int_Med,cMyc,cell
Int_Med_cycA_cell,Int_Med,cycA,cell
Int_Med_cycB1_cell,Int_Med,cycB1,cell
Int_Med_cycD1_cell,Int_Med,cycD1,cell
Int_Med_cycE_cell,Int_Med,cycE,cell
Int_Med_p14ARF_cell,Int_Med,p14ARF,cell
Int_Med_p16_cell,Int_Med,p16,cell
Int_Med_p21_cell,Int_Med,p21,cell
Int_Med_p27_cell,Int_Med,p27,cell
Int_Med_p38_cell,Int_Med,p38,cell
Int_Med_p53_cell,Int_Med,p53,cell
Int_Med_pAKT_cell,Int_Med,pAKT,cell
Int_Med_pCHK1_cell,Int_Med,pCHK1,cell
Int_Med_pERK_cell,Int_Med,pERK,cell
Int_Med_pGSK3b_cell,Int_Med,pGSK3b,cell
Int_Med_pH2AX_cell,Int_Med,pH2AX,cell
Int_Med_pRB_cell,Int_Med,pRB,cell
Int_Med_pRSK_cell,Int_Med,pRSK,cell
Int_Med_pS6_cell,Int_Med,pS6,cell
Int_Med_pSTAT3_cell,Int_Med,pSTAT3,cell
Int_Med_pp21_cell,Int_Med,pp21,cell
Int_Med_pp27_cell,Int_Med,pp27,cell
Int_Med_pp38_cell,Int_Med,pp38,cell
Int_Med_pp53_cell,Int_Med,pp53,cell
Int_Med_pp65_cell,Int_Med,pp65,cell
Int_MeanEdge_PCNA_cell,Int_MeanEdge,PCNA,cell
Int_Med_PCNA_cell,Int_Med,PCNA,cell
Int_Med_AKT_cyto,Int_Med,AKT,cyto
Int_Med_BP1_cyto,Int_Med,BP1,cyto
Int_Med_Bcl2_cyto,Int_Med,Bcl2,cyto
Int_Med_CDK2_cyto,Int_Med,CDK2,cyto
Int_Med_CDK4_cyto,Int_Med,CDK4,cyto
Int_Med_CDK6_cyto,Int_Med,CDK6,cyto
Int_Med_Cdh1_cyto,Int_Med,Cdh1,cyto
Int_Med_Cdt1_cyto,Int_Med,Cdt1,cyto
Int_Med_DNA_cyto,Int_Med,DNA,cyto
Int_Med_E2F1_cyto,Int_Med,E2F1,cyto
Int_Med_ERK_cyto,Int_Med,ERK,cyto
Int_Med_Fra1_cyto,Int_Med,Fra1,cyto
Int_Med_GSK3b_cyto,Int_Med,GSK3b,cyto
Int_Med_RB_cyto,Int_Med,RB,cyto
Int_Med_RSK1_cyto,Int_Med,RSK1,cyto
Int_Med_S6_cyto,Int_Med,S6,cyto
Int_Med_STAT3_cyto,Int_Med,STAT3,cyto
Int_Med_Skp2_cyto,Int_Med,Skp2,cyto
Int_Med_YAP_cyto,Int_Med,YAP,cyto
Int_Med_bCat_cyto,Int_Med,bCat,cyto
Int_Med_cFos_cyto,Int_Med,cFos,cyto
Int_Med_cJun_cyto,Int_Med,cJun,cyto
Int_Med_cMyc_cyto,Int_Med,cMyc,cyto
Int_Med_cycA_cyto,Int_Med,cycA,cyto
Int_Med_cycB1_cyto,Int_Med,cycB1,cyto
Int_Med_cycD1_cyto,Int_Med,cycD1,cyto
Int_Med_cycE_cyto,Int_Med,cycE,cyto
Int_Med_p14ARF_cyto,Int_Med,p14ARF,cyto
Int_Med_p16_cyto,Int_Med,p16,cyto
Int_Med_p21_cyto,Int_Med,p21,cyto
Int_Med_p27_cyto,Int_Med,p27,cyto
Int_Med_p38_cyto,Int_Med,p38,cyto
Int_Med_p53_cyto,Int_Med,p53,cyto
Int_Med_pAKT_cyto,Int_Med,pAKT,cyto
Int_Med_pCHK1_cyto,Int_Med,pCHK1,cyto
Int_Med_pERK_cyto,Int_Med,pERK,cyto
Int_Med_pGSK3b_cyto,Int_Med,pGSK3b,cyto
Int_Med_pH2AX_cyto,Int_Med,pH2AX,cyto
Int_Med_pRB_cyto,Int_Med,pRB,cyto
Int_Med_pRSK_cyto,Int_Med,pRSK,cyto
Int_Med_pS6_cyto,Int_Med,pS6,cyto
Int_Med_pSTAT3_cyto,Int_Med,pSTAT3,cyto
Int_Med_pp21_cyto,Int_Med,pp21,cyto
Int_Med_pp27_cyto,Int_Med,pp27,cyto
Int_Med_pp38_cyto,Int_Med,pp38,cyto
Int_Med_pp53_cyto,Int_Med,pp53,cyto
Int_Med_pp65_cyto,Int_Med,pp65,cyto
Int_Med_PCNA_cyto,Int_Med,PCNA,cyto
Int_Med_AKT_nuc,Int_Med,AKT,nuc
Int_Med_BP1_nuc,Int_Med,BP1,nuc
Int_Med_Bcl2_nuc,Int_Med,Bcl2,nuc
Int_Med_CDK2_nuc,Int_Med,CDK2,nuc
