feature,protein,measurement,compartment,variance,spearman_abs_pseudotime,anova_F_phase,laplacian_score_neg,graph_smoothness,dyn_score,variance_rank,spearman_abs_pseudotime_rank,anova_F_phase_rank,laplacian_score_neg_rank,graph_smoothness_rank,dyn_score_rank
Int_MeanEdge_AKT_cell,AKT,Int_MeanEdge,cell,0.009520735,0.1824780959305642,25.802141189575195,-0.28449240068769843,0.8961031142334239,0.16351919004276405,57,52,72,14,28,48
Int_MeanEdge_BP1_cell,BP1,Int_MeanEdge,cell,0.0015397753,0.08968122217060745,6.611555576324463,-0.6619963968584511,0.6521602898959621,0.05848653184900754,199,120,175,229,236,134
Int_MeanEdge_Bcl2_cell,Bcl2,Int_MeanEdge,cell,0.0036452273,0.10740428973179336,11.35777759552002,-0.4499372268652048,0.7854802472233499,0.08436394805137734,141,96,131,111,175,104
Int_MeanEdge_CDK2_cell,CDK2,Int_MeanEdge,cell,0.012188418,0.19083537799542802,22.858489990234375,-0.37594645853958214,0.8569689482548452,0.16353999317055776,37,48,80,51,68,47
Int_MeanEdge_CDK4_cell,CDK4,Int_MeanEdge,cell,0.0068605,0.025579851320124948,1.6926213502883911,-0.5468189567343742,0.7436839720407138,0.019023325433961416,86,198,228,194,206,206
Int_MeanEdge_CDK6_cell,CDK6,Int_MeanEdge,cell,0.0018715028,0.10720403513282735,1.9912652969360352,-0.647413051123071,0.7374367430608945,0.0790561945113379,190,97,222,226,211,109
Int_MeanEdge_Cdh1_cell,Cdh1,Int_MeanEdge,cell,0.004887204,0.15723093880590056,16.63951873779297,-0.5196291787261141,0.7836036641352887,0.12320673976373503,118,63,106,178,178,62
Int_MeanEdge_Cdt1_cell,Cdt1,Int_MeanEdge,cell,0.004623093,0.16460690872147113,28.245878219604492,-0.5049392091492417,0.771528853788844,0.12699897961160148,124,58,69,162,183,60
Int_MeanEdge_DNA_cell,DNA,Int_MeanEdge,cell,0.0033320284,0.19894600432238996,11.790095329284668,-0.37903487108413425,0.8994932443802562,0.17895058688443502,145,47,128,55,25,43
Int_MeanEdge_E2F1_cell,E2F1,Int_MeanEdge,cell,0.001831811,0.011854356380104123,0.9211798310279846,-0.46594790464195435,0.8754310421729093,0.01037767156012363,191,226,236,128,52,226
Int_MeanEdge_ERK_cell,ERK,Int_MeanEdge,cell,0.007992668,0.09622686964246047,16.761688232421875,-0.2870329543091729,0.8958987204209679,0.08620952938279561,72,113,105,16,30,100
Int_MeanEdge_Fra1_cell,Fra1,Int_MeanEdge,cell,0.0031830303,0.2302806967799749,15.660676002502441,-0.3785393899646695,0.896416388563728,0.206427390563444,151,40,111,54,26,34
Int_MeanEdge_GSK3b_cell,GSK3b,Int_MeanEdge,cell,0.0032325017,0.14001881261118368,6.409566879272461,-0.4703954598064389,0.8063757807338112,0.11290777933676445,150,74,176,137,151,72
Int_MeanEdge_RB_cell,RB,Int_MeanEdge,cell,0.005328276,0.1574072821503684,5.120627403259277,-0.5857990180618857,0.7407775353614857,0.11660377851929989,111,62,187,205,207,68
Int_MeanEdge_RSK1_cell,RSK1,Int_MeanEdge,cell,0.006122501,0.10157508274802647,4.215134620666504,-0.6335006461798051,0.6919144363174669,0.07028126612350079,96,105,192,223,222,120
Int_MeanEdge_S6_cell,S6,Int_MeanEdge,cell,0.011213967,0.1414646450783588,15.524741172790527,-0.35147707185223626,0.8599696955385464,0.12165530775750474,44,72,114,47,66,66
Int_MeanEdge_STAT3_cell,STAT3,Int_MeanEdge,cell,0.003017001,0.09005654304217346,4.1869354248046875,-0.6935139630641384,0.6492604573018613,0.0584701523185863,154,119,194,236,237,135
Int_MeanEdge_Skp2_cell,Skp2,Int_MeanEdge,cell,0.002479093,0.0520755610174466,1.6107046604156494,-0.48371288424030917,0.8052036788950144,0.0419314333117698,172,161,230,144,153,161
Int_MeanEdge_YAP_cell,YAP,Int_MeanEdge,cell,0.017278602,0.12365073228205875,14.3173246383667,-0.2894307802961529,0.8941096600637723,0.11055731420734807,10,83,120,22,31,75
Int_MeanEdge_bCat_cell,bCat,Int_MeanEdge,cell,0.007303191,0.12652538968115595,10.129077911376953,-0.44137915001997896,0.8359774055576199,0.10577236700281961,81,79,135,108,98,77
Int_MeanEdge_cFos_cell,cFos,Int_MeanEdge,cell,0.0058656624,0.02744120126532734,5.134809970855713,-0.4562275952884348,0.8112951688583396,0.022262914014229425,102,194,186,120,143,195
Int_MeanEdge_cJun_cell,cJun,Int_MeanEdge,cell,0.0029906982,0.2166141607204672,7.989017486572266,-0.43874693274336796,0.8270242877145357,0.17914517197872637,155,42,157,100,111,42
Int_MeanEdge_cMyc_cell,cMyc,Int_MeanEdge,cell,0.002871842,0.11959647571165467,15.57567310333252,-0.46693657874433886,0.822021455222941,0.0983108690040295,165,84,112,132,121,81
Int_MeanEdge_cycA_cell,cycA,Int_MeanEdge,cell,0.002532339,0.03382878542222734,10.213529586791992,-0.5933912834712731,0.6998520609454095,0.023675145197025828,171,182,134,209,221,192
Int_MeanEdge_cycB1_cell,cycB1,Int_MeanEdge,cell,0.01682797,0.2744751450688237,325.6582336425781,-0.38769121833441383,0.8465517581831611,0.2323574166355909,15,29,20,62,73,25
Int_MeanEdge_cycD1_cell,cycD1,Int_MeanEdge,cell,0.006218958,0.07281320186008175,31.067602157592773,-0.6003620688402576,0.7722008002938154,0.05622641274831026,95,138,60,210,182,140
Int_MeanEdge_cycE_cell,cycE,Int_MeanEdge,cell,0.0011013461,0.0667871447325928,3.4094510078430176,-0.5417610857776409,0.7687588658550893,0.051343209638327746,220,145,210,192,191,148
Int_MeanEdge_p14ARF_cell,p14ARF,Int_MeanEdge,cell,0.005914233,0.12970676666517364,5.830974578857422,-0.5311349702561992,0.7645195249399055,0.09916335563234972,98,78,180,183,198,80
Int_MeanEdge_p16_cell,p16,Int_MeanEdge,cell,0.0058908295,0.055477571197709005,1.3341716527938843,-0.7057633713033138,0.6216905476840557,0.034489881622084904,100,160,234,237,240,176
Int_MeanEdge_p21_cell,p21,Int_MeanEdge,cell,0.003259176,0.10936708424022057,9.56594181060791,-0.710207114711164,0.6567308232199082,0.0718247352662411,147,93,143,238,234,119
Int_MeanEdge_p27_cell,p27,Int_MeanEdge,cell,0.00118899,0.17929513232553787,20.896190643310547,-0.457318125900142,0.8119020662224842,0.14557008839873792,214,53,91,121,142,51
Int_MeanEdge_p38_cell,p38,Int_MeanEdge,cell,0.007337304,0.15878513421225265,19.754663467407227,-0.3833110880000848,0.8399309023383719,0.13336854105681686,79,60,101,57,90,55
Int_MeanEdge_p53_cell,p53,Int_MeanEdge,cell,0.002472249,0.14008856374974418,8.530881881713867,-0.6078001679294702,0.6763196243035998,0.09474464480445788,173,73,149,212,230,85
Int_MeanEdge_pAKT_cell,pAKT,Int_MeanEdge,cell,0.009433483,0.25311593193367343,31.9870548248291,-0.5072001110350729,0.7955410699627185,0.20136411931512518,59,35,58,163,169,37
Int_MeanEdge_pCHK1_cell,pCHK1,Int_MeanEdge,cell,0.0011836957,0.17016294677177923,8.132047653198242,-0.5360228659028697,0.7361134384059206,0.12525923183745805,217,55,154,187,212,61
Int_MeanEdge_pERK_cell,pERK,Int_MeanEdge,cell,0.013470189,0.23285034819316125,30.738609313964844,-0.4148014700112056,0.8224356749214877,0.191504433271946,29,39,63,82,120,39
Int_MeanEdge_pGSK3b_cell,pGSK3b,Int_MeanEdge,cell,0.007405834,0.1890437535515737,20.43408203125,-0.4084889640991204,0.8251506689834588,0.15598957971022517,76,50,96,70,116,49
