feature,clean_feature,spearman_rho,spearman_abs,spearman_p,mutual_information,anova_F,anova_p,trajectory_eta2,variance,spearman_abs_z01,mutual_information_z01,trajectory_eta2_z01,dynamic_score
Int_Med_p38_cell,Med_p38,0.6969236862657088,0.6969236862657088,0.0,0.37345179260227024,414.4918091338271,0.0,0.5133077567417561,1.0000000000000062,0.9999999999985574,0.9927252666009884,0.9999999999980244,0.9974538433093016
Int_Med_ERK_cell,Med_ERK,0.6675979209034643,0.6675979209034643,0.0,0.3422636963780512,385.50515221356676,0.0,0.4951863852377064,1.0000000000000009,0.9576913963845631,0.9098197571020981,0.9641979120519161,0.9422376257691709
Int_Med_ERK_ring,Med_ERK_ring,0.6609186820940184,0.6609186820940184,0.0,0.3449344083590846,374.9097877619298,0.0,0.48822113448326127,0.9999999999999997,0.9480551852323089,0.9169191560497141,0.9504367836504806,0.9376338947020351
Int_Med_ERK_cyto,Med_ERK,0.6609186820940184,0.6609186820940184,0.0,0.34433065900824467,374.9097877619298,0.0,0.48822113448326127,0.9999999999999997,0.9480551852323089,0.9153142441249477,0.9504367836504806,0.9370721755283669
Int_Med_pCHK1_cell,Med_pCHK1,0.6641141928157258,0.6641141928157258,0.0,0.3637589567465671,275.1185818229607,2.3154893030797e-311,0.4117810659782876,0.9999999999999939,0.9526653836294852,0.9669593625416648,0.7994154299626529,0.9270182855153817
Int_Med_p38_cyto,Med_p38,0.6687504525099829,0.6687504525099829,0.0,0.3240121749017639,353.49095896341447,0.0,0.47353682548851733,1.0,0.9593541663852935,0.8613027948533251,0.92142524211566,0.9174504014951779
Int_Med_p38_ring,Med_p38_ring,0.6687504525099829,0.6687504525099829,0.0,0.32342440823684093,353.49095896341447,0.0,0.47353682548851733,1.0,0.9593541663852935,0.8597403687766714,0.92142524211566,0.9169035523683491
Int_MeanEdge_ERK_cell,ERK,0.626850530807161,0.626850530807161,3.693977372692813e-301,0.3011729914243686,315.77591668328733,0.0,0.4455229209267701,1.0,0.8989046893849632,0.8005907164654911,0.8660786435091791,0.857929589687991
Int_Med_AKT_cell,Med_AKT,0.5743028914827066,0.5743028914827066,6.6642220684151416e-242,0.376188463380152,205.36006302483545,1.0996307002532148e-245,0.3432048288562196,0.9999999999999992,0.8230936332857502,0.9999999999973418,0.6639305152635209,0.8531782380303614
Int_Med_YAP_cell,Med_YAP,0.6278555921242032,0.6278555921242032,2.0982866246074877e-302,0.29165228279889543,282.1992145164283,1.2111545e-317,0.41794955984736565,1.0,0.9003547023801991,0.7752823682511365,0.8116024192281402,0.8388289288046153
Int_Med_pCHK1_cyto,Med_pCHK1,0.6279903826871315,0.6279903826871315,1.4271262338968722e-302,0.3023710863115321,221.48256476404202,1.6273361660210661e-261,0.3604375086689238,1.0000000000000056,0.9005491662050098,0.803775542699648,0.6979768300285862,0.8261639307428486
Int_Med_pCHK1_ring,Med_pCHK1_ring,0.6279903826871315,0.6279903826871315,1.4271262338968722e-302,0.30101328491872614,221.48256476404202,1.6273361660210661e-261,0.3604375086689238,1.0000000000000056,0.9005491662050098,0.8001661779131733,0.6979768300285862,0.8249006530675824
Int_Med_p16_cell,Med_p16,0.6125393819522214,0.6125393819522214,6.591394306910115e-284,0.29512652503457026,215.8510742664406,4.937045725464298e-256,0.3545219568291038,1.0,0.8782578378301853,0.7845177451269945,0.6862895740627963,0.8070551526305907
Int_MeanEdge_YAP_cell,YAP,0.5966336119782047,0.5966336119782047,9.576279129663492e-266,0.2872891881193622,250.95059520971432,2.0620650578057857e-289,0.38970473368067565,1.0000000000000013,0.8553104088818371,0.7636842064140666,0.7557995927027643,0.8033390747823029
Int_Med_S6_ring,Med_S6_ring,0.5652714720797919,0.5652714720797919,9.008606210256286e-233,0.28450845563954275,278.3686160042145,2.9734864443e-314,0.41462858013974685,1.00000000000001,0.810063905370052,0.7562923463479007,0.8050412156496562,0.7902393217682199
Int_Med_GSK3b_cell,Med_GSK3b,0.5737437704445685,0.5737437704445685,2.4963761464166928e-241,0.28778558720908176,253.97067261589547,3.366025342952831e-292,0.3925536092525124,1.0000000000000016,0.8222869832262334,0.7650037553583855,0.7614280681052815,0.7900660704482962
Int_Med_cJun_cyto,Med_cJun,0.5986184028160815,0.5986184028160815,5.894174738068112e-268,0.290063004674614,203.0808008629558,2.0565216148557602e-243,0.3406934103043621,0.9999999999999836,0.8581738884118385,0.7710576822785866,0.6589687480019758,0.7878421881832278
Int_Med_S6_cyto,Med_S6,0.5652714720797919,0.5652714720797919,9.008606210256286e-233,0.2812442994526627,278.3686160042145,2.9734864443e-314,0.41462858013974685,1.00000000000001,0.810063905370052,0.7476154290454878,0.8050412156496562,0.7872024007123753
Int_Med_cJun_ring,Med_cJun_ring,0.5986184028160815,0.5986184028160815,5.894174738068112e-268,0.2873844773159431,203.0808008629558,2.0565216148557602e-243,0.3406934103043621,0.9999999999999836,0.8581738884118385,0.7639375081653336,0.6589687480019758,0.7853501272435892
Int_Med_S6_cell,Med_S6,0.5713779136303746,0.5713779136303746,6.487314597690773e-239,0.26601841540889826,280.58281631810877,3.24615477e-316,0.416552812097866,1.0000000000000038,0.8188737356290177,0.7071413435115631,0.8088428882646621,0.7777612289150374
Int_Med_YAP_cyto,Med_YAP,0.6009715318190951,0.6009715318190951,1.3464987853509025e-270,0.24441846721032245,246.51925361064121,2.676083390118115e-285,0.385475890239154,0.9999999999999963,0.8615687734561441,0.6497234524778052,0.7474447380622176,0.7645981040349401
Int_Med_YAP_ring,Med_YAP_ring,0.6009715318190951,0.6009715318190951,1.3464987853509025e-270,0.24373459855990465,246.51925361064121,2.676083390118115e-285,0.385475890239154,0.9999999999999963,0.8615687734561441,0.6479055640601986,0.7474447380622176,0.7639618430887778
Int_MeanEdge_AKT_cell,AKT,0.5515540332148429,0.5515540332148429,1.9693218007532194e-219,0.28475728415619717,217.90106403332314,4.92158852771507e-258,0.3566879759460316,1.0000000000000002,0.7902736057353315,0.7569537927793462,0.6905689414881521,0.7586707383513007
Int_Med_Bcl2_cell,Med_Bcl2,0.5439270779579394,0.5439270779579394,2.796119747700195e-212,0.3189522755217702,154.18195983464145,1.7354980044673837e-192,0.28177456705852516,1.0000000000000056,0.7792701136606986,0.847852357446192,0.54256378344954,0.7559326329433895
Int_Med_AKT_ring,Med_AKT_ring,0.5277090749728307,0.5277090749728307,1.1398906507548469e-197,0.3233125454905412,162.42572177553785,2.222508452369682e-201,0.2924346414067916,1.000000000000004,0.7558722227196856,0.8594430105182753,0.5636247124881284,0.7536724964028805
