method_family,n_features,n_replicates,abs_spearman_with_reference_pseudotime_mean,abs_spearman_with_reference_pseudotime_sd,spearman_with_annotated_age_mean,spearman_with_annotated_age_sd,trustworthiness_vs_full_PCA_mean,trustworthiness_vs_full_PCA_sd,neighbor_overlap_vs_full_PCA_mean,neighbor_overlap_vs_full_PCA_sd
dynamic,5,1,0.7237367439123087,0.0,0.06394865872946331,0.0,0.7014293554251301,0.0,0.03716322339011719,0.0
high_variance,5,1,0.5959034872770762,0.0,-0.07874449476798888,0.0,0.725275008178091,0.0,0.04728766461278241,0.0
random,5,50,0.4491810192835476,0.1743132442079596,0.039613067907945824,0.13735427111946374,0.7573463682917577,0.027376081115548373,0.058338045185453664,0.011007788200033909
dynamic,10,1,0.757326812285384,0.0,0.013348519833813705,0.0,0.7767176287139661,0.0,0.06591760299625468,0.0
high_variance,10,1,0.5968075393747873,0.0,-0.08430656473949263,0.0,0.7950717552408668,0.0,0.08024646611090974,0.0
random,10,50,0.5436961232094232,0.11294582645319852,0.06687449188729919,0.14809110805965794,0.8436494587622857,0.021094248803810688,0.10363126736740366,0.014243286850112507
dynamic,15,1,0.7809044925136048,0.0,-0.014017639397589344,0.0,0.8291893639600189,0.0,0.09194152470701945,0.0
high_variance,15,1,0.6172951911170101,0.0,-0.06387076976853587,0.0,0.8199681248750325,0.0,0.09708831702307599,0.0
random,15,50,0.6217645345606577,0.11152531294025045,0.07939711658238546,0.13436660062380412,0.8751714986289776,0.01719280450405488,0.12854367524465388,0.018027908016796462
dynamic,20,1,0.7925881689990709,0.0,-0.014448799339061735,0.0,0.8462363560122569,0.0,0.10692279811525915,0.0
high_variance,20,1,0.6651848362699925,0.0,-0.09079925200060367,0.0,0.8668915376718547,0.0,0.13260843300712816,0.0
random,20,50,0.7066865865773357,0.0550378969602842,0.07801480346718276,0.11838644406437958,0.8996952415875176,0.014870701918050984,0.15471257702065966,0.018503207857100887
dynamic,30,1,0.8134529948351794,0.0,-0.028006805993116675,0.0,0.8529129988900406,0.0,0.11400265796786274,0.0
high_variance,30,1,0.740820786489999,0.0,-0.056115720084119115,0.0,0.8977955805808671,0.0,0.1628367766098828,0.0
random,30,50,0.7347176765665793,0.08285900655595502,0.09211091423643687,0.11350756008083149,0.9270418470969013,0.013572052849960705,0.19786685997342032,0.023916475567761483
