,dpt_pseudotime
0,0.27177164
1,0.63254684
2,0.19922365
3,0.102297194
4,0.39044845
5,0.42957327
6,0.21429284
7,0.53227973
8,0.35973126
9,0.23986287
10,0.16364083
11,0.17200792
12,0.15254913
13,0.2825875
14,0.29240277
15,0.23325218
16,0.3568172
17,0.64534026
18,0.5677505
19,0.14984629
20,0.13681228
21,0.13535644
22,0.36823738
23,0.25991154
24,0.5076541
25,0.30866224
26,0.13730718
27,0.36653107
28,0.38544533
29,0.22238283
30,0.3217045
31,0.10508967
32,0.59523547
33,0.2156571
34,0.3098628
35,0.24311157
36,0.34164673
37,0.28542998
38,0.55278105
39,0.2514903
40,0.2914913
41,0.5484723
42,0.38506553
43,0.16206047
44,0.34167847
45,0.19149663
46,0.1327369
47,0.36865178
48,0.22269505
49,0.47846383
50,0.5347844
51,0.1290323
52,0.38544112
53,0.4582511
54,0.45147228
55,0.14483634
56,0.35443285
57,0.52310777
58,0.13763428
59,0.1604723
60,0.4140016
61,0.20022821
62,0.12580478
63,0.1399399
64,0.14367138
65,0.38827798
66,0.124007836
67,0.22238877
68,0.3784125
69,0.13489667
70,0.16558856
71,0.11125991
72,0.057624076
73,0.110977516
74,0.15286013
75,0.44117787
76,0.20779394
77,0.5911907
78,0.6099827
79,0.20721468
80,0.39952102
81,0.41070023
82,0.27910396
83,0.29303652
84,0.24924542
85,0.24995743
86,0.2513031
87,0.38973784
88,0.47438797
89,0.3932878
90,0.308109
91,0.24256541
92,0.23885553
93,0.11753674
94,0.4891813
95,0.22239661
96,0.30673987
97,0.22924748
98,0.34657234
99,0.3373291
100,0.38050848
101,0.10777317
102,0.34582284
103,0.18724337
104,0.10628549
105,0.0
106,0.47861117
107,0.38704962
108,0.1990751
109,0.12705143
110,0.40431333
111,0.07744558
112,0.40494198
113,0.040885035
114,0.17942901
115,0.5002923
116,0.35028425
117,0.37621573
118,0.18689601
119,0.17369711
120,0.35224107
121,0.46199995
122,0.19175233
123,0.521853
124,0.25109652
125,0.13288298
126,0.5531785
127,0.09105254
128,0.3179514
129,0.11291928
130,0.104773246
131,0.4582939
132,0.117158264
133,0.119202904
134,0.08593898
135,0.5804322
136,0.20523064
137,0.2011418
138,0.46975207
139,0.43668842
140,0.19971979
141,0.49197894
142,0.6066665
143,0.19311096
144,0.59952235
145,0.058379054
146,0.29028827
147,0.5712408
148,0.20853198
149,0.09619477
150,0.32664484
151,0.46148747
152,0.3619413
153,0.4338143
154,0.48290867
155,0.07993108
156,0.20747885
157,0.397618
158,0.33479184
159,0.59860533
160,0.09578165
161,0.30902985
162,0.13332482
163,0.09370889
164,0.2885972
165,0.41161716
166,0.5014554
167,0.26563329
168,0.26455644
169,0.29550833
170,0.31074864
171,0.35958183
172,0.31595477
173,0.042075854
174,0.15025091
175,0.22819087
176,0.24944422
177,0.13014342
178,0.26684275
179,0.4148027
180,0.29158723
181,0.4364388
182,0.25797534
183,0.03332797
184,0.402111
185,0.23655817
186,0.47932163
187,0.13115396
188,0.32315978
189,0.14663549
190,0.35654697
191,0.26800975
192,0.11767048
193,0.2718203
194,0.3729169
195,0.18466479
196,0.20756367
197,0.6683614
198,0.36814797
199,0.11241604
200,0.2476059
201,0.25078014
202,0.1695642
203,0.14263028
204,0.3149872
205,0.55713904
206,0.3433937
207,0.2572285
208,0.26399353
209,0.15687408
210,0.18800762
211,0.4145659
212,0.029237598
213,0.15380731
214,0.384519
215,0.21314463
216,0.61424464
217,0.5063607
218,0.1463131
219,0.3832165
220,0.48273417
221,0.4984459
222,0.59761494
223,0.36886284
224,0.30164167
225,0.35617954
226,0.2688371
227,0.33635962
228,0.41336226
229,0.3134749
230,0.5012102
231,0.2932566
232,0.4516968
233,0.03618174
234,0.4303674
235,0.29256788
236,0.4374059
237,0.4154102
238,0.1987374
239,0.6846732
240,0.15557921
241,0.2900462
242,0.2635386
243,0.5223584
244,0.45706725
245,0.29182467
246,0.28902623
247,0.44661695
248,0.50413
249,0.43336958
250,0.5924461
251,0.14460242
252,0.30725458
253,0.31830034
254,0.42168796
255,0.13883804
256,0.5704067
257,0.32557064
258,0.3711619
259,0.101493075
260,0.31361717
261,0.44448283
262,0.43989894
263,0.145154
264,0.5979168
265,0.446445
266,0.409493
267,0.40130594
268,0.37444693
269,0.50298715
270,0.3089529
271,0.12411015
272,0.34943008
273,0.5501401
274,0.24976796
275,0.50205076
276,0.33037484
277,0.253437
278,0.4958112
279,0.30500984
280,0.40431154
281,0.33319077
282,0.3518026
283,0.34596056
284,0.41431808
285,0.47710738
286,0.17055854
287,0.09343693
288,0.27047527
289,0.4557183
290,0.4186259
291,0.2633842
292,0.23379615
293,0.38991714
294,0.33790746
295,0.4265851
296,0.19508694
297,0.18958914
298,0.30236793
299,0.40468752
300,0.15434597
301,0.08713897
302,0.4383976
303,0.16623099
304,0.13191876
305,0.3110882
306,0.31755534
307,0.19323348
308,0.2057906
309,0.29586533
310,0.42632428
311,0.20867631
312,0.4144859
313,0.36294445
314,0.2076392
315,0.39020866
316,0.33408794
317,0.08888024
318,0.19348851
319,0.42033312
320,0.2495751
321,0.11749365
322,0.44894364
323,0.44506815
324,0.3738048
325,0.20645294
326,0.16726828
327,0.16724037
328,0.40653953
329,0.19129388
330,0.4609771
331,0.11679162
332,0.2677957
333,0.2670492
334,0.24214871
335,0.3601693
336,0.17087048
337,0.45781437
338,0.16548456
339,0.63271195
340,0.3584757
341,0.18799965
342,0.4644555
343,0.40329352
344,0.15754008
345,0.41263193
346,0.24855079
347,0.3378545
348,0.103149086
349,0.23053965
350,0.26691824
351,0.23126008
352,0.3675679
353,0.48279807
354,0.3685706
355,0.5106402
356,0.09798396
357,0.118787184
358,0.094452806
359,0.39081287
360,0.24404639
361,0.37135372
362,0.29498178
363,0.23655604
364,0.3942449
365,0.2982043
366,0.24858727
367,0.5093638
368,0.14224242
369,0.40966144
370,0.34389192
371,0.3948329
372,0.38105583
373,0.39638403
374,0.4359057
375,0.50659436
376,0.21765575
377,0.27186665
378,0.2817574
379,0.38352662
380,0.14430945
381,0.19641571
382,0.40858003
383,0.12322993
384,0.28871417
385,0.30211428
386,0.3101342
387,0.20531504
388,0.33136293
389,0.27545732
390,0.42629638
391,0.31351894
392,0.35739958
393,0.57145786
394,0.16208217
395,0.3695461
396,0.15317802
397,0.38395408
398,0.3642847
399,0.22895874
400,0.4590638
401,0.56451625
402,0.66603374
403,0.21631098
404,0.2706379
405,0.43730512
406,0.23293118
407,0.07642075
408,0.3343603
409,0.46278915
410,0.09911991
411,0.14691976
412,0.19602168
413,0.26894423
414,0.30834505
415,0.20934302
416,0.10560486
417,0.10459086
418,0.42716253
419,0.10368613
420,0.1453215
421,0.19195127
422,0.1572568
423,0.46600422
424,0.21778904
425,0.23382547
426,0.30835062
427,0.2531629
428,0.2605929
429,0.10596224
430,0.4658424
431,0.17217498
432,0.44331723
433,0.44845995
434,0.16782428
435,0.39387336
436,0.3805401
437,0.1042385
438,0.29110864
439,0.13939899
440,0.1783018
441,0.40702093
442,0.38675117
443,0.32359555
444,0.4090333
445,0.30929396
446,0.16271253
447,0.36040175
448,0.28543755
449,0.32215765
450,0.11006901
451,0.1920923
452,0.23903976
453,0.47720516
454,0.3366814
455,0.13295905
456,0.17594132
457,0.28744236
458,0.45293656
459,0.2986895
460,0.44876653
461,0.25393268
462,0.20031482
463,0.27475265
464,0.48097628
465,0.17818129
466,0.09871961
467,0.043333456
468,0.41837338
469,0.08854698
470,0.30998287
471,0.43606237
472,0.5366585
473,0.36171207
474,0.057178568
475,0.22341727
476,0.20635477
477,0.37856632
478,0.4033881
479,0.9505405
480,0.35971576
481,0.1559238
482,0.34883192
483,0.3455161
484,0.5348252
485,0.2818223
486,0.21146134
487,0.31337312
488,0.30735135
489,0.3149477
490,0.2980268
491,0.33093056
492,0.2472742
493,0.5943158
494,0.3200385
495,0.416676
496,0.27546537
497,0.08937732
498,0.37770134
499,0.30315235
500,0.4760424
501,0.28119656
502,0.5913909
503,0.4325382
504,0.29710504
505,0.15240207
506,0.26472902
507,0.34631875
508,0.14778328
509,0.109166466
510,0.25354102
511,0.1741194
512,0.6455828
513,0.59914154
514,0.30603653
515,0.42781568
516,0.14642906
517,0.21311033
518,0.1163956
519,0.2924108
520,0.24694034
521,0.15832466
522,0.15114948
523,0.3245518
524,0.19613202
525,0.38880664
526,0.2179693
527,0.51501846
528,0.35495725
529,0.17623805
530,0.3118779
531,0.2899699
532,0.42467156
533,0.51962394
534,0.11219151
535,0.39693305
536,0.27931887
537,0.29325297
538,0.23492867
539,0.10599895
540,0.3743664
541,0.27566537
542,0.37714154
543,0.15287575
544,0.4050187
545,0.38421062
546,0.35627866
547,0.3159921
548,0.3918477
549,0.45440343
550,0.35869473
551,0.4473853
552,0.117189296
553,0.38099343
554,0.44089004
555,0.13325323
556,0.1079299
557,0.52432406
558,0.26941434
559,0.40326005
560,0.17389637
561,0.29926905
562,0.14460395
563,0.39082783
564,0.1460007
565,0.39951932
566,0.22177352
567,0.26834428
568,0.11296193
569,0.5147846
570,0.27675137
571,0.56550795
572,0.2614096
573,0.18636604
574,0.40770555
575,0.20604056
576,0.41967255
577,0.41690138
578,0.42552876
579,0.4039451
580,0.4161487
581,0.4879667
582,0.24228996
583,0.52026826
584,0.36911112
585,0.1844235
586,0.26676807
587,0.2716883
588,0.42005962
589,0.30997586
590,0.44598556
591,0.3892948
592,0.3171914
593,0.2728183
594,0.2991063
595,0.43435177
596,0.3667248
597,0.07868632
598,0.10101684
599,0.27580044
600,0.28760585
601,0.35742527
602,0.44805345
603,0.45440105
604,0.4391761
605,0.20181525
606,0.10464807
607,0.37974334
608,0.36377096
609,0.23051149
610,0.29323947
611,0.25760257
612,0.3843974
613,0.14431013
614,0.44583353
615,0.41895783
616,0.23514381
617,0.24029677
618,0.3085069
619,0.3953916
620,0.40022552
621,0.42169905
622,0.32323205
623,0.44894066
624,0.27024344
625,0.44804356
626,0.2136499
627,0.34434187
628,0.3791604
629,0.29985273
630,0.51447415
631,0.35059628
632,0.23394684
633,0.25692633
634,0.33671013
635,0.25927302
636,0.31839615
637,0.33930126
638,0.37509808
639,0.30463746
640,0.40734574
641,0.46022636
642,0.3103667
643,0.4351819
644,0.39448836
645,0.28177407
646,0.4259649
647,0.20858751
648,0.28961417
649,0.47207838
650,0.24733628
651,0.19101825
652,0.20816243
653,0.46739155
654,0.3527502
655,0.32893533
656,0.37464926
657,0.27580976
658,0.6494856
659,0.46468946
660,0.252492
661,0.33234066
662,0.28125972
663,0.24088176
664,0.5948885
665,0.40283588
666,0.17673606
667,0.22339036
668,0.30545712
669,0.30200744
670,0.21464793
671,0.38793227
672,0.29785335
673,0.2772026
674,0.176805
675,0.31426677
676,0.17526834
677,0.3860575
678,0.12991959
679,0.22276306
680,0.44646505
681,0.31296632
682,0.3855782
683,0.39638546
684,0.4284966
685,0.2968659
686,0.38975427
687,0.16981131
688,0.1138986
689,0.13308108
690,0.20574889
691,0.32738143
692,0.09153285
693,0.14877822
694,0.42054114
695,0.26137707
696,0.32303283
697,0.39420348
698,0.44377044
699,0.2628315
700,0.3503415
701,0.23191607
702,0.2984411
703,0.44711307
704,0.543417
705,0.11324751
706,0.13637313
707,0.13890286
708,0.34153602
709,0.46889114
710,0.43727997
711,0.36959314
712,0.2627752
713,0.4083081
714,0.56881267
715,0.37024432
716,0.11686611
717,0.12698385
718,0.3031971
719,0.272907
720,0.33074307
721,0.07907829
722,0.40187263
723,0.30871952
724,0.36384645
725,0.33287632
726,0.42461964
727,0.43171534
728,0.42908317
729,0.2605601
730,0.29885313
731,0.31405783
732,0.25994292
733,0.5226277
734,0.41927707
735,0.3025176
736,0.45260292
737,0.41734704
738,0.3629758
739,0.3079255
740,0.2711108
741,0.31226927
742,0.33361563
743,0.43252754
744,0.33763084
745,0.26167122
746,0.44828728
747,0.07467151
748,0.29900497
749,0.30462992
750,0.2245808
751,0.36323482
752,0.4696628
753,0.36831924
754,0.4390054
755,0.31474465
756,0.3438403
757,0.3082899
758,0.2659156
759,0.4166099
760,0.31501615
761,0.4333407
762,0.35128736
763,0.30068114
764,0.43961406
765,0.2492808
766,0.40124917
767,0.14570557
768,0.4335854
769,0.2228006
770,0.31768417
771,0.22080748
772,0.52417195
773,0.29393739
774,0.4658295
775,0.4298035
776,0.2840086
777,0.22691154
778,0.52675784
779,0.4298698
780,0.25774053
781,0.44318342
782,0.3278952
783,0.35704616
784,0.3156791
785,0.3334934
786,0.4820859
787,0.46404654
788,0.35697824
789,0.29271063
790,0.35932264
791,0.42822096
792,0.36471152
793,0.44543585
794,0.33415568
795,0.41852605
796,0.40242198
797,0.32740036
798,0.23320194
799,0.22349447
800,0.39027736
801,0.3204783
802,0.264707
803,0.37623
804,0.24999495
805,0.2230679
806,0.49128172
807,0.3922625
808,0.4236814
809,0.26698542
810,0.22955677
811,0.32775503
812,0.3733344
813,0.3277752
814,0.2616026
815,0.4017557
816,0.64872235
817,0.23386396
818,0.4425347
819,0.250134
820,0.42475638
821,0.33049652
822,0.268472
823,0.22034334
824,0.3566228
825,0.38114214
826,0.2288845
827,0.47600478
828,0.19065347
829,0.2678839
830,0.34969786
831,0.37973258
832,0.38192064
833,0.28478122
834,0.3791562
835,0.19843742
836,0.34349567
837,0.41082245
838,0.4019449
839,0.25377244
840,0.28727123
841,0.36962032
842,0.2554983
843,0.35069382
844,0.23053901
845,0.39701924
846,0.34468374
847,0.28006673
848,0.25533924
849,0.23299262
850,0.4156327
851,0.26774094
852,0.13868596
853,0.28229064
854,0.33353814
855,0.46408466
856,0.38586447
857,0.3595062
858,0.2094035
859,0.20725079
860,0.37444752
861,0.32801145
862,0.2317944
863,0.4401062
864,0.4692279
865,0.44685885
866,0.13274533
867,0.25269648
868,0.43731973
869,0.40128094
870,0.103415385
871,0.118788056
872,0.25771764
873,0.42903098
874,0.23552668
875,0.43661124
876,0.18163183
877,0.32790762
878,0.26680958
879,0.23538956
880,0.3174932
881,0.35090467
882,0.1739821
883,0.2346473
884,0.30931666
885,0.5970125
886,0.23946528
887,0.5039217
888,0.39602244
889,0.21938433
890,0.27185968
891,0.4346421
892,0.19383219
893,0.40951756
894,0.123109
895,0.24593672
896,0.3046669
897,0.2989039
898,0.5310292
899,0.28510255
900,0.46257457
901,0.15339212
902,0.27863544
903,0.4347923
904,0.078489505
905,0.49770793
906,0.20991169
907,0.42342585
908,0.23014952
909,0.1497434
910,0.3758194
911,0.1275211
912,0.45645398
913,0.11422834
914,0.17418863
915,0.47275078
916,0.42760727
917,0.44999033
918,0.3004695
919,0.2772522
920,0.3185235
921,0.57911396
922,0.28656942
923,0.54045
924,0.4484179
925,0.6134688
926,0.52112824
927,0.18904899
928,0.23539701
929,0.21050589
930,0.15598771
931,0.22888978
932,0.59842676
933,0.47122738
934,0.47784686
935,0.56827444
936,0.36002585
937,0.13632235
938,0.09190199
939,0.40893185
940,0.20395984
941,0.44870508
942,0.23836718
943,0.44902152
944,0.21712124
945,0.40402368
946,0.41009158
947,0.5389717
948,0.15947074
949,0.39071554
950,0.28196478
951,0.35247862
952,0.36993006
953,0.55005896
954,0.13606806
955,0.1537842
956,0.2402263
957,0.22262104
958,0.19661468
959,0.36586058
960,0.23128565
961,0.18026176
962,0.4116083
963,0.12449095
964,0.26857415
965,0.30267966
966,0.60596675
967,0.35151958
968,0.44703832
969,0.2689145
970,0.37996593
971,0.4033164
972,0.24370205
973,0.54575616
974,0.27689117
975,0.21462898
976,0.292545
977,0.4146172
978,0.24072316
979,0.3425832
980,0.3147534
981,0.46506476
982,0.2123027
983,0.38827196
984,0.5638456
985,0.36536473
986,0.49200267
987,0.081323594
988,0.36546794
989,0.20924363
990,0.39716962
991,0.4212745
992,0.2445713
993,0.4249129
994,0.08043568
995,0.38978395
996,0.45449656
997,0.42927557
998,0.56967205
999,0.6182157
1000,0.28844053
1001,0.32494897
1002,0.38176507
1003,0.17826417
1004,0.27786115
1005,0.20140491
1006,0.2352804
1007,0.1028809
1008,0.60159
1009,0.49611244
1010,0.4287781
1011,0.16058585
1012,0.19316371
1013,0.40773997
1014,0.23665781
1015,0.41735506
1016,0.106496036
1017,0.29828653
1018,0.2912081
1019,0.5263214
1020,0.38463065
1021,0.28385437
1022,0.23225541
1023,0.35976133
1024,0.29763687
1025,0.3796111
1026,0.17202304
1027,0.46038583
1028,0.23105158
1029,0.18572246
1030,0.09605464
1031,0.287431
1032,0.22809087
1033,0.25437376
1034,0.18974073
1035,0.3257874
1036,0.3059807
1037,0.23091915
1038,0.058664426
1039,0.2197328
1040,0.27314344
1041,0.0667156
1042,0.60031074
1043,0.45492753
1044,0.18414144
1045,0.154538
1046,0.11795274
1047,0.21843195
1048,0.42962134
1049,0.340593
1050,0.67315
1051,0.19521138
1052,0.3910337
1053,0.6496049
1054,0.46640232
1055,0.30953503
1056,0.56225723
1057,0.38735944
1058,0.32825497
1059,0.4306845
1060,0.079636246
1061,0.19964518
1062,0.26938102
1063,0.062469475
1064,0.43753892
1065,0.44289458
1066,0.39607027
1067,0.40567955
1068,0.18350103
1069,0.25182608
1070,0.4023527
1071,0.4308018
1072,0.48787707
1073,0.14467826
1074,0.11113174
1075,0.487509
1076,0.21292539
1077,0.1945324
1078,0.44287342
1079,0.22434653
1080,0.33968595
1081,0.12406452
1082,0.33474705
1083,0.13422781
1084,0.47115856
1085,0.15936936
1086,0.25281203
1087,0.22402522
1088,0.24942397
1089,0.40750962
1090,0.09274502
1091,0.10702634
1092,0.48547405
1093,0.2145158
1094,0.2395199
1095,0.17839943
1096,0.40610105
1097,0.25586477
1098,0.16961518
1099,0.18723181
1100,0.46695873
1101,0.06397298
1102,0.5226568
1103,0.1616969
1104,0.36428213
1105,0.26944774
1106,0.098443426
1107,0.16181451
1108,0.22776039
1109,0.18528706
1110,0.20938031
1111,0.115108564
1112,0.33800316
1113,0.09370028
1114,0.1717926
1115,0.18929525
1116,0.1827471
1117,0.2457473
1118,0.07461144
1119,0.0991457
1120,0.50842124
1121,0.22201084
1122,0.5740688
1123,0.30181167
1124,0.5829411
1125,0.6396183
1126,0.10340494
1127,0.45829856
1128,0.06359423
1129,0.15019135
1130,0.11562697
1131,0.09995434
1132,0.369032
1133,0.11466365
1134,0.3413505
1135,0.10033538
1136,0.050761264
1137,0.49906364
1138,0.2345434
1139,0.07649967
1140,0.43957195
1141,0.07777066
1142,0.31201017
1143,0.2230656
1144,0.17525263
1145,0.670198
1146,0.25556293
1147,0.06696161
1148,0.07354647
1149,0.17029524
1150,0.08870817
1151,0.34697747
1152,0.16243495
1153,0.21440218
1154,0.1339893
1155,0.117254674
