protein,mean_dynamic_score,max_dynamic_score,n_features
AreaShape_Area_nuc,0.6785225765306666,0.6785225765306666,1
cycB1,0.40705982280879055,0.5130797832733089,5
cycA,0.33484640531546794,0.766860096849536,5
PCNA,0.26412137450319956,0.4936262509517594,5
DNA,0.22992116326874007,0.7929272978079003,5
Skp2,0.20906790406703807,0.6245459421616164,5
Cdh1,0.18090073038464877,0.3959256189810706,5
CDK2,0.17527073237399815,0.5012417004833284,5
pH2AX,0.1695022911923978,0.5223734576644724,5
pAKT,0.16796166770979779,0.1826296038008501,5
p27,0.16418924180239694,0.3790422592290604,5
E2F1,0.14775649298901541,0.4705396208281101,5
Cdt1,0.14674799923795423,0.420998923733025,5
pRB,0.13524624744169045,0.1749630988432341,5
cycD1,0.1304673054179471,0.2666373582252235,5
p21,0.11916858120480885,0.2816302803181172,5
pCHK1,0.11852176455457468,0.2411791976593559,5
pp21,0.11829245492396448,0.3793937921918333,5
Fra1,0.1170485635408393,0.1446252217730439,5
BP1,0.11320022330446425,0.2309512107787622,5
