feature,protein,compartment,measurement,spearman_corr,spearman_pval,pearson_corr,pearson_pval,mi_score,f_statistic,dynamic_range,dynamics_score
Int_Intg_DNA_nuc,DNA,nuc,Int_Intg,0.7359945236404305,0.0,0.7641727914653939,0.0,0.5399644651306748,339.04758,2.1724696,0.9295202465035269
Int_Med_cycA_nuc,cycA,nuc,Int_Med,0.73238994282907,0.0,0.759729659581108,0.0,0.5293904702634045,199.00374,2.1940668,0.8193277839048141
AreaShape_Area_nuc,nuc,unknown,AreaShape_Area,0.7146348635615428,0.0,0.6722653098032635,0.0,0.4070415941579082,224.07552,2.0725577,0.7562208725982814
Int_Med_Skp2_nuc,Skp2,nuc,Int_Med,0.5137867003929677,9.559193336098864e-186,0.5392766176326058,5.222884234500972e-208,0.528733158494255,178.82573,1.9455872,0.6828704758741109
Int_Med_CDK2_nuc,CDK2,nuc,Int_Med,0.6007035083485317,2.6986961034138792e-270,0.5989412923857664,2.566271326588687e-268,0.24767761154826307,119.53349,1.8770115,0.5491888792431556
Int_Std_PCNA_nuc,PCNA,nuc,Int_Std,0.5537299982861966,1.6582414796456995e-221,0.38650422074977275,5.3736194646459376e-99,0.289914313704017,168.72095,1.6526275,0.544119668108872
Int_Med_pH2AX_nuc,pH2AX,nuc,Int_Med,0.5826144580301129,1.4635854529268305e-250,0.549430487663735,2.015051990634399e-217,0.32958427886150776,82.74472,1.8495417,0.5436404129164468
Int_Med_cycB1_ring,cycB1,ring,Int_Med,0.560699121186191,2.955451368626579e-228,0.566208630817672,1.047838687823392e-233,0.26589899005123385,57.61311,1.8725207,0.491762121336717
Int_Med_cycB1_cyto,cycB1,cyto,Int_Med,0.560699121186191,2.955451368626579e-228,0.566208630817672,1.047838687823392e-233,0.2656353865168901,57.61311,1.8725207,0.4916400746320881
Int_Med_E2F1_nuc,E2F1,nuc,Int_Med,0.42886615522800786,7.3740567553754276e-124,0.25685541292266933,8.112904527802323e-43,0.3632051998844448,129.72691,1.759995,0.4828714889960468
Int_Med_cycB1_cell,cycB1,cell,Int_Med,0.5493045847193913,2.648509179489189e-217,0.5575553132150083,3.427606917183123e-225,0.24867787539554964,56.36493,1.851215,0.4769831108200678
Int_Med_Cdt1_nuc,Cdt1,nuc,Int_Med,-0.5046733847071078,3.093844660221899e-178,-0.30868991803962154,5.485633360694293e-62,0.3095360550797963,78.99662,1.1299639,0.4473207086123317
Int_Med_p27_nuc,p27,nuc,Int_Med,-0.49477946900436137,2.4541327081165608e-170,-0.34598181984365445,2.053883916143178e-78,0.211534850636383,68.77267,2.146655,0.413135450805105
Int_Med_Cdh1_nuc,Cdh1,nuc,Int_Med,-0.3670278266151216,9.857296571373306e-89,-0.23360134322205414,1.643923054973997e-35,0.24384372996165737,121.29198,1.3498106,0.3898233402428807
Int_Med_cycB1_nuc,cycB1,nuc,Int_Med,0.4304464779673577,7.397036919086567e-125,0.4722788153053846,2.6054455024063246e-153,0.15131525395091572,63.87577,1.6524353,0.37740962987315857
Int_Med_pp21_nuc,pp21,nuc,Int_Med,0.4840634471442134,4.544553614195187e-162,0.32938782263925337,8.080304449999718e-71,0.18179439274482867,21.52714,1.1965963,0.34373108709252304
Int_Med_pp53_nuc,pp53,nuc,Int_Med,0.3704153269125631,1.8151732322613466e-90,0.33156523298632845,8.656758252240632e-72,0.10585199141611845,37.61372,1.6662753,0.2890901708272351
Int_Med_pCHK1_nuc,pCHK1,nuc,Int_Med,0.32934887790097084,8.408262106251927e-71,0.3422439909789522,1.1593310693189812e-76,0.09084556689038248,22.529917,3.71936,0.28897832707235055
Int_Med_cycE_nuc,cycE,nuc,Int_Med,0.36154346809320304,5.7340795043881745e-86,0.26465155171887683,1.92597763839623e-45,0.10695294496808572,38.26931,1.887601,0.2771344707437625
Int_Med_BP1_nuc,BP1,nuc,Int_Med,0.2680758638404665,1.2694018306113264e-46,0.3302232266855625,3.436981911561179e-71,0.11946267608561367,26.478844,3.1488361,0.2736660878905879
Int_Med_cycA_ring,cycA,ring,Int_Med,0.2937574364225623,4.832180700797207e-56,0.3889807022937753,2.367665583744207e-100,0.11116443319261826,28.601088,1.5850803,0.26893928368918574
Int_Med_cycA_cyto,cycA,cyto,Int_Med,0.2937574364225623,4.832180700797207e-56,0.3889807022937753,2.367665583744207e-100,0.10700990096358254,28.601088,1.5850803,0.26701576256079523
Int_Med_p21_nuc,p21,nuc,Int_Med,-0.22669044155715593,1.7365767974964024e-33,0.04354895986044055,0.02216611308022851,0.290520120471645,28.370752,1.9395692,0.2662736211983606
Int_Med_cycD1_nuc,cycD1,nuc,Int_Med,-0.15777634535034174,7.691459110558893e-17,0.11246143574369057,3.1555953783219965e-09,0.2515235240761644,43.256527,2.7548246,0.26119459324140826
Int_Med_GSK3b_nuc,GSK3b,nuc,Int_Med,0.31112700357368656,5.437833338079226e-63,0.27295024808566093,2.4681709109534755e-48,0.08499490553704359,28.322393,1.9113543,0.24445722357888097
Int_Med_p16_nuc,p16,nuc,Int_Med,0.3242281444594991,1.4951306307934085e-68,0.3199764191698483,1.0232004888327517e-66,0.06009765182319082,33.27197,1.489963,0.24415878470429342
Int_Med_cFos_nuc,cFos,nuc,Int_Med,0.31391288072518436,3.7694668216868393e-64,0.3093562757104039,2.9221875456165487e-62,0.06379273651710804,34.966293,1.359566,0.2396332571714851
Int_Med_p53_nuc,p53,nuc,Int_Med,0.29796223528395205,1.1106566327004193e-57,0.2992538796339902,3.4410748963775905e-58,0.0581737862787719,25.178785,1.9204607,0.23054370038276217
Int_MeanEdge_cycB1_cell,cycB1,cell,Int_MeanEdge,0.274448762228661,7.2305049941719e-49,0.33149135108368455,9.341158762321793e-72,0.07064331014688552,25.14375,1.1941787,0.22407872252131994
