feature,dynamics_score,protein,compartment,measurement,spearman_corr,mi_score
Int_Intg_DNA_nuc,0.9295202465035268,DNA,nuc,Int_Intg,0.7359945236404305,0.5399644651306748
Int_Med_cycA_nuc,0.8193277839048141,cycA,nuc,Int_Med,0.73238994282907,0.5293904702634045
AreaShape_Area_nuc,0.7562208725982814,nuc,unknown,AreaShape_Area,0.7146348635615428,0.4070415941579082
Int_Med_Skp2_nuc,0.6828704758741109,Skp2,nuc,Int_Med,0.5137867003929677,0.528733158494255
Int_Med_CDK2_nuc,0.5491888792431556,CDK2,nuc,Int_Med,0.6007035083485317,0.247677611548263
Int_Std_PCNA_nuc,0.544119668108872,PCNA,nuc,Int_Std,0.5537299982861966,0.289914313704017
Int_Med_pH2AX_nuc,0.5436404129164468,pH2AX,nuc,Int_Med,0.5826144580301129,0.3295842788615077
Int_Med_cycB1_ring,0.491762121336717,cycB1,ring,Int_Med,0.560699121186191,0.2658989900512338
Int_Med_E2F1_nuc,0.4828714889960468,E2F1,nuc,Int_Med,0.4288661552280078,0.3632051998844448
Int_Med_Cdt1_nuc,0.4473207086123317,Cdt1,nuc,Int_Med,-0.5046733847071078,0.3095360550797963
Int_Med_p27_nuc,0.413135450805105,p27,nuc,Int_Med,-0.4947794690043613,0.211534850636383
Int_Med_Cdh1_nuc,0.3898233402428807,Cdh1,nuc,Int_Med,-0.3670278266151216,0.2438437299616573
Int_Med_cycB1_nuc,0.3774096298731585,cycB1,nuc,Int_Med,0.4304464779673577,0.1513152539509157
Int_Med_pp21_nuc,0.343731087092523,pp21,nuc,Int_Med,0.4840634471442134,0.1817943927448286
Int_Med_pp53_nuc,0.2890901708272351,pp53,nuc,Int_Med,0.3704153269125631,0.1058519914161184
Int_Med_pCHK1_nuc,0.2889783270723505,pCHK1,nuc,Int_Med,0.3293488779009708,0.0908455668903824
Int_Med_cycE_nuc,0.2771344707437625,cycE,nuc,Int_Med,0.361543468093203,0.1069529449680857
Int_Med_BP1_nuc,0.2736660878905879,BP1,nuc,Int_Med,0.2680758638404665,0.1194626760856136
Int_Med_cycA_ring,0.2689392836891857,cycA,ring,Int_Med,0.2937574364225623,0.1111644331926182
Int_Med_p21_nuc,0.2662736211983606,p21,nuc,Int_Med,-0.2266904415571559,0.290520120471645
Int_Med_cycD1_nuc,0.2611945932414082,cycD1,nuc,Int_Med,-0.1577763453503417,0.2515235240761644
Int_Med_GSK3b_nuc,0.2444572235788809,GSK3b,nuc,Int_Med,0.3111270035736865,0.0849949055370435
Int_Med_p16_nuc,0.2441587847042934,p16,nuc,Int_Med,0.3242281444594991,0.0600976518231908
Int_Med_cFos_nuc,0.2396332571714851,cFos,nuc,Int_Med,0.3139128807251843,0.063792736517108
Int_Med_p53_nuc,0.2305437003827621,p53,nuc,Int_Med,0.297962235283952,0.0581737862787719
Int_MeanEdge_cycB1_cell,0.2240787225213199,cycB1,cell,Int_MeanEdge,0.274448762228661,0.0706433101468855
Int_Med_CDK6_nuc,0.2220515344908675,CDK6,nuc,Int_Med,0.2602163261912233,0.0673792420621222
Int_Med_pp27_nuc,0.213391816385807,pp27,nuc,Int_Med,0.1829768305795419,0.0342209264146928
Int_Med_CDK4_nuc,0.2120481872271457,CDK4,nuc,Int_Med,0.163320444142171,0.0570631762335667
Int_Med_pAKT_ring,0.2104384941421031,pAKT,ring,Int_Med,-0.2499732012058582,0.0801457530659695
Int_Med_cycA_cell,0.2087490699542534,cycA,cell,Int_Med,0.2865332502482993,0.0765568596455512
Int_Med_p38_nuc,0.2052495460039627,p38,nuc,Int_Med,0.2072643206105942,0.0704218875094966
Int_Med_pRB_nuc,0.203101853921991,pRB,nuc,Int_Med,0.2582264626136358,0.0963065893350023
Int_MeanEdge_pAKT_cell,0.1942091836441221,pAKT,cell,Int_MeanEdge,-0.2531129638677273,0.0542648112035371
Int_Med_PCNA_ring,0.1896617826851298,PCNA,ring,Int_Med,-0.2745114406756147,0.0730999304047639
Int_MeanEdge_pERK_cell,0.1725718971105587,pERK,cell,Int_MeanEdge,-0.2328771764814151,0.0383144245223103
Int_Med_pSTAT3_nuc,0.156726633487418,pSTAT3,nuc,Int_Med,0.2088475291031903,0.0897451340138282
Int_Med_PCNA_cell,0.1506054147224152,PCNA,cell,Int_Med,-0.2549138989298657,0.0593658057571442
Int_Med_cMyc_nuc,0.1505633637537953,cMyc,nuc,Int_Med,-0.0058601431679578,0.1309532887374187
Int_Med_pGSK3b_nuc,0.1477503094031526,pGSK3b,nuc,Int_Med,0.1747151465344873,0.0953494296284747
Int_MeanEdge_PCNA_cell,0.1415586439182184,PCNA,cell,Int_MeanEdge,-0.2597704421943049,0.0452187644936286
Int_Med_cycD1_ring,0.1405309479891387,cycD1,ring,Int_Med,0.0165363070343041,0.0844363098259979
Int_Med_pAKT_nuc,0.1400041814063419,pAKT,nuc,Int_Med,-0.1414943658468349,0.0759616265050855
Int_MeanEdge_pGSK3b_cell,0.139550133352182,pGSK3b,cell,Int_MeanEdge,-0.1891319125681847,0.0332660176564481
Int_Med_pp38_nuc,0.1384045358305961,pp38,nuc,Int_Med,0.2099995695490669,0.0291203664161256
Int_MeanEdge_Fra1_cell,0.1358783763128547,Fra1,cell,Int_MeanEdge,-0.2303140430166518,0.0330217970540189
Int_Med_bCat_nuc,0.1316723254515543,bCat,nuc,Int_Med,0.1894436260772918,0.0426999591919807
Int_MeanEdge_CDK2_cell,0.1284485518525788,CDK2,cell,Int_MeanEdge,-0.1908493565087633,0.0137774010344946
Int_MeanEdge_pRB_cell,0.1283360880568635,pRB,cell,Int_MeanEdge,-0.2102144011146283,0.0394632063582065
Int_Med_pp65_nuc,0.1281246771162304,pp65,nuc,Int_Med,0.0869384541568365,0.0723428706191331
