feature,variance,abs_correlation,dynamic_r2,neighborhood_preservation,pca_score,mutual_info,variance_rank,correlation_rank,dynamic_rank,neighborhood_rank,pca_rank,mi_rank,avg_rank,composite_rank
Int_Med_cycA_nuc,0.024504459,0.7597296579427162,0.6304464957026434,0.009790718794480879,0.07299305,0.5261209632364274,3,2,2,6,12,2,4.5,1
Int_Med_cycB1_ring,0.012809296,0.5662086299454504,0.3320334715361082,0.009768153978950084,0.06883655,0.2813429398653869,33,5,9,7,17,10,13.5,2
Int_Med_cycB1_cyto,0.012809296,0.5662086299454504,0.3320334715361082,0.009768153978950084,0.06883654,0.2813429398653869,32,6,10,8,18,11,14.166666666666666,3
Int_Med_cycB1_cell,0.011533202,0.5575553131915931,0.3232862063356269,0.009660580712197081,0.06580741,0.27373774031853243,43,7,11,11,24,13,18.166666666666668,4
Int_Intg_DNA_nuc,0.013663321,0.7641727918834644,0.6617649611724267,0.008157112524012154,0.057665564,0.5297598992841237,23,1,1,43,40,1,18.166666666666668,4
Int_Med_Skp2_nuc,0.031221703,0.5392766174316505,0.42310443523718355,0.006748095335914573,0.09126589,0.4924087685330889,1,9,4,119,1,3,22.833333333333332,6
Int_Med_pH2AX_nuc,0.015501865,0.5494304873416446,0.34031863942035034,0.007019074559787775,0.05842428,0.33219442929299603,19,8,8,94,39,5,28.833333333333332,7
Int_Med_CDK2_nuc,0.015399682,0.5989412932998344,0.37981713166019626,0.0066504057767759585,0.06478994,0.29544740139120035,20,4,5,125,29,8,31.833333333333332,8
Int_MeanEdge_cycB1_cell,0.01682797,0.33149135044435935,0.12247798159540935,0.006822048842521081,0.07874222,0.1292483906742847,15,17,25,113,5,22,32.833333333333336,9
Int_Med_BP1_nuc,0.013557203,0.33022322779973673,0.12021830042031068,0.007492849464578427,0.047633275,0.16373455640338386,28,18,27,62,64,18,36.166666666666664,10
Int_Med_p27_nuc,0.016722526,0.3459818228677031,0.2452525464200761,0.006511996847075823,0.06342229,0.26200583055181986,16,14,13,136,31,16,37.666666666666664,11
Int_Std_PCNA_nuc,0.023470003,0.38650422063522333,0.36618708049260207,0.005519379974142479,0.07792423,0.3283432400522332,4,13,6,187,9,7,37.666666666666664,11
Int_Med_Cdh1_nuc,0.017832275,0.2336013431118803,0.34997692216713405,0.0062098665340720016,0.0719681,0.26254650580087585,7,35,7,157,13,15,39.0,13
Int_Med_AKT_nuc,0.021186927,0.14819057901132932,0.03477624310363647,0.008293108018770827,0.07037576,0.09508346790256036,6,56,82,34,16,41,39.166666666666664,14
Int_Med_pRB_nuc,0.026878322,0.19366004276944346,0.06613754185816023,0.006580207858782108,0.08603875,0.1330452527464322,2,38,55,132,2,21,41.666666666666664,15
Int_Med_cycD1_nuc,0.012135805,0.11246143487173019,0.20342564939052576,0.006973330929167493,0.055740908,0.27235333616017565,38,83,16,100,43,14,49.0,16
Int_Med_cycA_ring,0.0041985647,0.38898070353782216,0.18713354205634436,0.009748754406119536,0.036271974,0.12450549755579603,133,12,17,9,104,25,50.0,17
Int_Med_cycA_cyto,0.0041985647,0.38898070353782216,0.18713354205634436,0.009748754406119536,0.036271974,0.12450549755579603,132,11,18,10,103,26,50.0,17
Int_MeanEdge_YAP_cell,0.017278602,0.15354229729270533,0.026440625936957507,0.007805573860621787,0.077963285,0.06228649292638459,10,54,98,48,8,84,50.333333333333336,19
AreaShape_Area_nuc,0.007515461,0.6722653086000604,0.4802995312193674,0.006356795354558213,0.04037054,0.37944179489069496,75,3,3,149,85,4,53.166666666666664,20
Int_Med_cycB1_nuc,0.00945933,0.4722788154450252,0.22697778151021053,0.006229918721951107,0.046339605,0.17306169944785466,58,10,14,155,67,17,53.5,21
Int_Med_S6_cyto,0.014904062,0.1006626624877078,0.022228931229969273,0.008981722888560792,0.07103709,0.07157927958694349,21,100,109,21,14,67,55.333333333333336,22
Int_Med_S6_cell,0.013303702,0.11562947727887964,0.024290107439503994,0.008439238719450265,0.06746456,0.06840435674025622,31,80,103,28,23,69,55.666666666666664,23
Int_Med_S6_ring,0.014904062,0.1006626624877078,0.022228931229969273,0.008981722888560792,0.07103709,0.07157927958694349,22,99,110,22,15,68,56.0,24
Int_Med_CDK4_nuc,0.0079085305,0.29332459079348167,0.1698334373064253,0.007014895796193851,0.040722564,0.0943740822371887,73,24,19,97,83,42,56.333333333333336,25
Int_MeanEdge_pERK_cell,0.013470189,0.2236736667459925,0.07086743869593193,0.0062249247505025244,0.06776021,0.08459000442601641,29,36,54,156,22,48,57.5,26
Int_MeanEdge_AKT_cell,0.009520735,0.19178323103719327,0.051110602111409276,0.008200058621631158,0.059524037,0.05308361095553686,57,39,62,40,37,119,59.0,27
Int_Med_pAKT_cell,0.012742515,0.2358134980093018,0.09971099611381673,0.005956423055322,0.054311853,0.10508660490403508,34,34,36,170,47,34,59.166666666666664,28
