path,step,coord,T,shell_atoms,cumulative_atoms
MC,1,"(0, 1)",1,12,13
MC,2,"(0, 2)",4,42,55
MC,3,"(0, 3)",9,92,147
MC,4,"(0, 4)",16,162,309
MC,5,"(0, 5)",25,252,561
Ch1,1,"(0, 1)",1,12,13
Ch1,2,"(1, 1)",3,32,45
Ch1,3,"(1, 2)",7,72,117
Ch1,4,"(2, 2)",12,122,239
Ch1,5,"(2, 3)",19,192,431
BG,1,"(0, 1)",1,12,13
BG,2,"(0, 2)",4,42,55
BG,3,"(1, 2)",7,72,127
BG,4,"(2, 2)",12,122,249
BG,5,"(2, 3)",19,192,441
Ch2,1,"(0, 1)",1,12,13
Ch2,2,"(1, 1)",3,32,45
Ch2,3,"(2, 1)",7,72,117
Ch2,4,"(3, 1)",13,132,249
Ch2,5,"(4, 1)",21,212,461
