inner,outer,shell_class,shell_index,core_atoms,outer_shell_atoms,cluster_notation,total_atoms,mismatch,mismatch_source,predicted_free_energy
Ni,Cu,MC,4,147,162,Ni147@Cu162,309,0.032,dataset_compatibility,-7.5888480000000005
Cu,Ni,MC,4,147,162,Cu147@Ni162,309,0.032,dataset_compatibility,-7.5888480000000005
Cu,Ag,Ch1,4,147,122,Cu147@Ag122,269,0.12,dataset_compatibility,-7.3928
Ag,Cu,Ch1,4,147,122,Ag147@Cu122,269,0.12,dataset_compatibility,-7.3928
Ag,Ni,Ch1,4,147,122,Ag147@Ni122,269,0.15,dataset_compatibility,-7.3682
Ni,Ag,Ch1,4,147,122,Ni147@Ag122,269,0.15,dataset_compatibility,-7.3682
Cs,Rb,MC,4,147,162,Cs147@Rb162,309,0.06627680311890835,radius_ratio,-7.316974160330435
Rb,Cs,MC,4,147,162,Rb147@Cs162,309,0.06627680311890835,radius_ratio,-7.316974160330435
Cu,Ag,MC,4,147,162,Cu147@Ag162,309,0.12,dataset_compatibility,-7.3088000000000015
Ag,Cu,MC,4,147,162,Ag147@Cu162,309,0.12,dataset_compatibility,-7.3088000000000015
Ag,Cu,BG,4,147,122,Ag147@Cu122,269,0.12,dataset_compatibility,-7.307799999999999
Cu,Ag,BG,4,147,122,Cu147@Ag122,269,0.12,dataset_compatibility,-7.307799999999999
K,Rb,MC,4,147,162,K147@Rb162,309,0.08842105263157893,radius_ratio,-7.238750138504156
Rb,K,MC,4,147,162,Rb147@K162,309,0.08842105263157893,radius_ratio,-7.238750138504156
Ni,Cu,BG,4,147,122,Ni147@Cu122,269,0.032,dataset_compatibility,-7.157287999999999
Cu,Ni,BG,4,147,122,Cu147@Ni122,269,0.032,dataset_compatibility,-7.157287999999999
Ag,Ni,BG,4,147,122,Ag147@Ni122,269,0.15,dataset_compatibility,-7.1452
Ni,Ag,BG,4,147,122,Ni147@Ag122,269,0.15,dataset_compatibility,-7.1452
Na,Rb,Ch1,4,147,122,Na147@Rb122,269,0.22,dataset_compatibility,-7.1408000000000005
Rb,Na,Ch1,4,147,122,Rb147@Na122,269,0.22,dataset_compatibility,-7.1408000000000005
K,Cs,Ch1,4,147,122,K147@Cs122,269,0.1544715447154471,radius_ratio,-7.116230339083879
Cs,K,Ch1,4,147,122,Cs147@K122,269,0.1544715447154471,radius_ratio,-7.116230339083879
Rb,Na,Ch2,4,147,132,Rb147@Na132,279,0.22,dataset_compatibility,-7.075949999999999
Na,Rb,Ch2,4,147,132,Na147@Rb132,279,0.22,dataset_compatibility,-7.075949999999999
K,Rb,BG,4,147,122,K147@Rb122,269,0.08842105263157893,radius_ratio,-7.059955124653739
Rb,K,BG,4,147,122,Rb147@K122,269,0.08842105263157893,radius_ratio,-7.059955124653739
Rb,Cs,BG,4,147,122,Rb147@Cs122,269,0.06627680311890835,radius_ratio,-7.042336733429849
Cs,Rb,BG,4,147,122,Cs147@Rb122,269,0.06627680311890835,radius_ratio,-7.042336733429849
K,Rb,Ch1,4,147,122,K147@Rb122,269,0.08842105263157893,radius_ratio,-7.032223822714681
Rb,K,Ch1,4,147,122,Rb147@K122,269,0.08842105263157893,radius_ratio,-7.032223822714681
K,Na,Ch1,4,147,122,K147@Na122,269,0.198547215496368,radius_ratio,-6.998864511136256
Na,K,Ch1,4,147,122,Na147@K122,269,0.198547215496368,radius_ratio,-6.998864511136256
Ni,Ag,MC,4,147,162,Ni147@Ag162,309,0.15,dataset_compatibility,-6.972200000000002
Ag,Ni,MC,4,147,162,Ag147@Ni162,309,0.15,dataset_compatibility,-6.972200000000002
Ag,Ni,Ch2,4,147,132,Ag147@Ni132,279,0.15,dataset_compatibility,-6.931549999999999
Ni,Ag,Ch2,4,147,132,Ni147@Ag132,279,0.15,dataset_compatibility,-6.931549999999999
Rb,Cs,Ch1,4,147,122,Rb147@Cs122,269,0.06627680311890835,radius_ratio,-6.906720749024391
Cs,Rb,Ch1,4,147,122,Cs147@Rb122,269,0.06627680311890835,radius_ratio,-6.906720749024391
K,Cs,BG,4,147,122,K147@Cs122,269,0.1544715447154471,radius_ratio,-6.866495591248595
Cs,K,BG,4,147,122,Cs147@K122,269,0.1544715447154471,radius_ratio,-6.866495591248595
Cu,Ni,Ch1,4,147,122,Cu147@Ni122,269,0.032,dataset_compatibility,-6.850288
Ni,Cu,Ch1,4,147,122,Ni147@Cu122,269,0.032,dataset_compatibility,-6.850288
K,Na,Ch2,4,147,132,K147@Na132,279,0.198547215496368,radius_ratio,-6.799250508298694
Na,K,Ch2,4,147,132,Na147@K132,279,0.198547215496368,radius_ratio,-6.799250508298694
Cu,Ag,Ch2,4,147,132,Cu147@Ag132,279,0.12,dataset_compatibility,-6.75395
Ag,Cu,Ch2,4,147,132,Ag147@Cu132,279,0.12,dataset_compatibility,-6.75395
Cs,K,Ch2,4,147,132,Cs147@K132,279,0.1544715447154471,radius_ratio,-6.7035529083217655
K,Cs,Ch2,4,147,132,K147@Cs132,279,0.1544715447154471,radius_ratio,-6.7035529083217655
Cs,K,MC,4,147,162,Cs147@K162,309,0.1544715447154471,radius_ratio,-6.667560631899003
K,Cs,MC,4,147,162,K147@Cs162,309,0.1544715447154471,radius_ratio,-6.667560631899003
Ag,Na,Ch2,4,147,132,Ag147@Na132,279,0.25454545454545463,radius_ratio,-6.658078925619833
Na,Ag,Ch2,4,147,132,Na147@Ag132,279,0.25454545454545463,radius_ratio,-6.658078925619833
Ag,Na,Ch1,4,147,122,Ag147@Na122,269,0.25454545454545463,radius_ratio,-6.476274380165289
Na,Ag,Ch1,4,147,122,Na147@Ag122,269,0.25454545454545463,radius_ratio,-6.476274380165289
Rb,Na,BG,4,147,122,Rb147@Na122,269,0.22,dataset_compatibility,-6.4598
Na,Rb,BG,4,147,122,Na147@Rb122,269,0.22,dataset_compatibility,-6.4598
K,Na,BG,4,147,122,K147@Na122,269,0.198547215496368,radius_ratio,-6.459452888860226
Na,K,BG,4,147,122,Na147@K122,269,0.198547215496368,radius_ratio,-6.459452888860226
K,Rb,Ch2,4,147,132,K147@Rb132,279,0.08842105263157893,radius_ratio,-6.142636980609416
Rb,K,Ch2,4,147,132,Rb147@K132,279,0.08842105263157893,radius_ratio,-6.142636980609416
Na,K,MC,4,147,162,Na147@K162,309,0.198547215496368,radius_ratio,-6.004879038981294
K,Na,MC,4,147,162,K147@Na162,309,0.198547215496368,radius_ratio,-6.004879038981294
