core,outer,r_core,r_outer,size_ratio,delta,predicted_category,outer_shell_index,outer_shell_atoms,predicted_cluster,geometric_error,stability_score
Ni,Cu,1.24,1.28,1.032258064516129,0.032,MC,1,12,Ni13@Cu12,0.032258064516129004,0.968
K,Rb,2.27,2.48,1.092511013215859,0.093,BG,1,12,K13@Rb12,0.09251101321585908,0.907
Cu,Ag,1.28,1.44,1.125,0.125,Ch1,1,12,Cu13@Ag12,0.125,0.875
Na,K,1.86,2.27,1.2204301075268817,0.22,Ch2,1,12,Na13@K12,0.22043010752688175,0.78
Ag,Cs,1.44,2.65,1.8402777777777777,0.84,off-window,2,42,Ag13@Cs42,0.030550915609192986,0.242
Ni,K,1.24,2.27,1.8306451612903225,0.831,off-window,2,42,Ni13@K42,0.040183532096648156,0.24
Rb,Cs,2.48,2.65,1.0685483870967742,0.069,off-window,1,12,Rb13@Cs12,0.06854838709677424,0.233
Cu,Rb,1.28,2.48,1.9375,0.938,off-window,2,42,Cu13@Rb42,0.06667130661302934,0.233
Cu,K,1.28,2.27,1.7734375,0.773,off-window,2,42,Cu13@K42,0.09739119338697066,0.226
Ni,Rb,1.24,2.48,2.0,1.0,off-window,2,42,Ni13@Rb42,0.12917130661302934,0.218
Ag,Rb,1.44,2.48,1.7222222222222223,0.722,off-window,2,42,Ag13@Rb42,0.14860647116474834,0.213
Ni,Ag,1.24,1.44,1.161290322580645,0.161,off-window,1,12,Ni13@Ag12,0.16129032258064502,0.21
K,Cs,2.27,2.65,1.1674008810572687,0.167,off-window,1,12,K13@Cs12,0.1674008810572687,0.208
Cu,Cs,1.28,2.65,2.0703125,1.07,off-window,2,42,Cu13@Cs42,0.19948380661302934,0.2
Ni,Cs,1.24,2.65,2.1370967741935485,1.137,off-window,2,42,Ni13@Cs42,0.2662680808065778,0.183
Ag,Na,1.44,1.86,1.2916666666666667,0.292,off-window,1,12,Ag13@Na12,0.29166666666666674,0.177
Ag,K,1.44,2.27,1.576388888888889,0.576,off-window,2,42,Ag13@K42,0.2944398044980816,0.176
Na,Rb,1.86,2.48,1.3333333333333333,0.333,off-window,1,12,Na13@Rb12,0.33333333333333326,0.167
Ni,Na,1.24,1.86,1.5,0.5,off-window,2,42,Ni13@Na42,0.37082869338697066,0.157
Cu,Na,1.28,1.86,1.453125,0.453,off-window,2,42,Cu13@Na42,0.41770369338697066,0.146
Na,Cs,1.86,2.65,1.4247311827956988,0.425,off-window,1,12,Na13@Cs12,0.42473118279569877,0.144
