N,d,r,fidelity,fidelity_std,n_samples,n_matched,experiment
40,14,10,0.0682875909361802,0.20742278346626544,20,20,depth_scan
40,14,11,0.5503135089176028,0.2594610181518841,20,20,depth_scan
40,14,12,0.31277265991287884,0.29863588910885847,20,20,depth_scan
40,14,13,0.42253557435501365,0.23893235314974137,20,20,depth_scan
40,14,14,0.20120743930669027,0.23006095735134344,20,20,depth_scan
40,14,15,0.12333660888924203,0.257066380207854,20,20,depth_scan
40,14,16,0.33866545172096374,0.1716981932546326,20,20,depth_scan
40,14,17,0.4615457310560691,0.35871027765687313,20,20,depth_scan
40,14,18,0.03540521607397751,0.25513671283789924,20,20,depth_scan
40,14,19,0.7106249479441675,0.39229846202685414,20,20,depth_scan
40,14,1,0.312724377166832,0.2648700428074297,20,20,depth_scan
40,14,20,0.07454147381645115,0.20140194237784467,20,20,depth_scan
40,14,21,0.751571974518151,0.2804944698296679,20,20,depth_scan
40,14,22,-0.05809522136058498,0.19825926045071285,20,20,depth_scan
40,14,23,0.5422621913102568,0.2965556012221461,20,20,depth_scan
40,14,24,0.058438847968821594,0.18038061362567392,20,20,depth_scan
40,14,25,0.42364665119457046,0.3579262648752773,20,20,depth_scan
40,14,26,0.6224960153350989,0.21884735335221853,20,20,depth_scan
40,14,27,0.5137671994414075,0.3070422667421437,20,20,depth_scan
40,14,28,0.034777301553769124,0.2151013079712684,20,20,depth_scan
40,14,29,0.2596916796672346,0.23235661985418424,20,20,depth_scan
40,14,2,0.2472686319644959,0.26965207301659505,20,20,depth_scan
40,14,30,0.4597171413115746,0.33387683631550075,20,20,depth_scan
40,14,31,0.4187263588627339,0.2350267012592357,20,20,depth_scan
40,14,32,0.19413876525847384,0.23984291927002863,20,20,depth_scan
40,14,33,0.5030614540090474,0.44435742116386445,20,20,depth_scan
40,14,34,0.5928039445922693,0.3391907159756305,20,20,depth_scan
40,14,35,0.14383315961004906,0.25307999915243845,20,20,depth_scan
40,14,36,0.27001649723913834,0.18352328467620388,20,20,depth_scan
40,14,37,0.36700179178202896,0.32897286602834386,20,20,depth_scan
40,14,38,0.6967419535607484,0.24406597590580856,20,20,depth_scan
40,14,39,0.6198288868846049,0.28756144996431543,20,20,depth_scan
40,14,3,0.1643438279565974,0.28177920039968385,20,20,depth_scan
40,14,40,0.992215439461652,0.45676164939969516,20,20,depth_scan
40,14,41,0.6821850728188512,0.4215787093246074,20,20,depth_scan
40,14,42,0.9508573789936001,0.3501417336839117,20,20,depth_scan
40,14,43,0.5868177250756683,0.3464614975648826,20,20,depth_scan
40,14,44,0.4052324866931081,0.26371871618378107,20,20,depth_scan
40,14,45,0.414253082433788,0.31688126583659215,20,20,depth_scan
40,14,46,0.6629078397473069,0.33487931197227544,20,20,depth_scan
40,14,47,0.2889835778979002,0.21650257827302383,20,20,depth_scan
40,14,48,0.5353702362974249,0.34211316692696636,20,20,depth_scan
40,14,49,0.1502982248581075,0.16280068477662182,20,20,depth_scan
40,14,4,-0.12781543255523342,0.15973546567657004,20,20,depth_scan
40,14,50,0.38680064528215086,0.22717942786749618,20,20,depth_scan
40,14,5,0.16687244471344398,0.2656269891501463,20,20,depth_scan
40,14,6,0.2865598113636405,0.22594629527654486,20,20,depth_scan
40,14,7,0.6343391754657113,0.23423418103963844,20,20,depth_scan
40,14,8,0.9375778967904793,0.31996046145790386,20,20,depth_scan
40,14,9,0.46767599060045306,0.2364467413458534,20,20,depth_scan
