N,d,r,fidelity,fidelity_std,n_samples,n_matched,experiment
40,8,10,0.6844823082662501,0.3587801587249227,20,20,depth_scan
40,8,11,0.6621295591524592,0.3358507684280223,20,20,depth_scan
40,8,12,1.042105283058894,0.4524532156201755,20,20,depth_scan
40,8,13,0.9498245353999776,0.2964498888130015,20,20,depth_scan
40,8,14,0.5395395066459292,0.2375483796351241,20,20,depth_scan
40,8,15,0.7173477088826767,0.4573232357022265,20,20,depth_scan
40,8,16,0.5763318803613713,0.2785138226499689,20,20,depth_scan
40,8,17,0.6712891051820633,0.27054822971029,20,20,depth_scan
40,8,18,0.2438359574439537,0.2329760063534798,20,20,depth_scan
40,8,19,0.7253042772327913,0.3246277588638075,20,20,depth_scan
40,8,1,0.504648516483285,0.3054897049701195,20,20,depth_scan
40,8,20,1.112652926972001,0.4246629932418634,20,20,depth_scan
40,8,21,0.0818862090684682,0.277223013147077,20,20,depth_scan
40,8,22,-0.0145727421409331,0.1578312013016924,20,20,depth_scan
40,8,23,0.3246221903253652,0.243781008291755,20,20,depth_scan
40,8,24,0.5798821919531034,0.3825331873314392,20,20,depth_scan
40,8,25,0.4407688986895413,0.2334913455878874,20,20,depth_scan
40,8,26,1.1247508462483655,0.6234620030327467,20,20,depth_scan
40,8,27,0.3670036701044523,0.2928195398607283,20,20,depth_scan
40,8,28,1.0648218878017022,0.3018197594511512,20,20,depth_scan
40,8,29,1.000785828643715,0.455200959524002,20,20,depth_scan
40,8,2,0.671013536866448,0.3310831104098043,20,20,depth_scan
40,8,30,0.3413383876374445,0.2877747802521925,20,20,depth_scan
40,8,31,1.4198548036449157,0.4334042664547528,20,20,depth_scan
40,8,32,-0.2023865850480536,0.1375678382872283,20,20,depth_scan
40,8,33,0.6483409514830032,0.3248848289390877,20,20,depth_scan
40,8,34,0.1728364676223557,0.2011550412572159,20,20,depth_scan
40,8,35,0.2971540217382356,0.1961888587065516,20,20,depth_scan
40,8,36,0.9592109454431884,0.4092050542684475,20,20,depth_scan
40,8,37,0.5749248083932605,0.310386108906521,20,20,depth_scan
40,8,38,0.3544461621738404,0.252704977473631,20,20,depth_scan
40,8,39,0.7582121767995667,0.229404070427854,20,20,depth_scan
40,8,3,0.2963810514839717,0.2407402075178682,20,20,depth_scan
40,8,40,0.4740044812384962,0.2483571222204224,20,20,depth_scan
40,8,41,0.7972184296544653,0.3311107575880281,20,20,depth_scan
40,8,42,0.7412806230300748,0.3488264488960358,20,20,depth_scan
40,8,43,0.8403531121606342,0.2735040492148708,20,20,depth_scan
40,8,44,0.4367692638439646,0.2964764810785381,20,20,depth_scan
40,8,45,0.9810095698993238,0.5216904443315928,20,20,depth_scan
40,8,46,0.8754578935640349,0.2850867360078076,20,20,depth_scan
40,8,47,0.3270304087516156,0.2576304084681025,20,20,depth_scan
40,8,48,0.6793575559461644,0.2714104519102462,20,20,depth_scan
40,8,49,1.1920426723100852,0.333557704523973,20,20,depth_scan
40,8,4,0.4319765643998732,0.2299603535362006,20,20,depth_scan
40,8,50,1.3338733888005363,0.3498350262617664,20,20,depth_scan
40,8,5,0.876432985904745,0.4595271493576044,20,20,depth_scan
40,8,6,0.793074600420973,0.413061441183411,20,20,depth_scan
40,8,7,0.3672279750022014,0.3365641788776271,20,20,depth_scan
40,8,8,0.2403720733406598,0.1916353910987173,20,20,depth_scan
40,8,9,0.5077858215737092,0.2900886517360928,20,20,depth_scan
40,10,10,0.4555652525773197,0.2181641101144522,20,20,depth_scan
40,10,11,0.072246839586421,0.2327247186853315,20,20,depth_scan
40,10,12,0.4342969200724624,0.2580076253600276,20,20,depth_scan
